snapshot_date,season,game_date,away_team,home_team,away_current_score,home_current_score,away_projected_points,home_projected_points,away_win_prob,home_win_prob,projected_spread_home,projected_total,source_file,source_url
2026-08-17,2026,2026-09-07,SMU,Florida St,0.0,0.0,28.0,26.0,0.53,0.47,-2.5,54.5,massey_games_20260903.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Massachusetts,Rutgers,0.0,0.0,7.0,42.0,0.01,0.99,-35.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Bethune-Cookman,UCF,0.0,0.0,3.0,48.0,0.0,1.0,-44.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Akron,Wake Forest,0.0,0.0,10.0,37.0,0.04,0.96,-26.5,50.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,SUNY Albany,Buffalo,0.0,0.0,13.0,38.0,0.05,0.95,-24.5,50.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,West Georgia,Kennesaw,0.0,0.0,17.0,31.0,0.17,0.83,-14.5,52.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Colorado,Georgia Tech,0.0,0.0,24.0,31.0,0.29,0.71,-7.5,55.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,E Illinois,Minnesota,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,48.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,Idaho,Utah,0.0,0.0,7.0,45.0,0.01,0.99,-37.5,53.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-03,UAB,Illinois,0.0,0.0,14.0,42.0,0.04,0.96,-28.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-04,LIU Post,Kansas,0.0,0.0,3.0,47.0,0.0,1.0,-43.5,49.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-04,UTEP,Oklahoma,0.0,0.0,7.0,44.0,0.0,1.0,-37.5,50.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-04,Miami FL,Stanford,0.0,0.0,35.0,14.0,0.91,0.09,-20.5,51.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,East Carolina,Alabama,0.0,0.0,14.0,37.0,0.07,0.93,-22.5,52.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Bryant,Army,0.0,0.0,6.0,45.0,0.0,1.0,-38.5,51.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Lafayette,Connecticut,0.0,0.0,14.0,40.0,0.07,0.93,-25.5,56.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Oregon St,Houston,0.0,0.0,17.0,31.0,0.19,0.81,-13.5,50.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,North Texas,Indiana,0.0,0.0,14.0,42.0,0.05,0.95,-28.5,59.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Ohio,Nebraska,0.0,0.0,16.0,31.0,0.14,0.86,-15.5,48.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Miami OH,Pittsburgh,0.0,0.0,17.0,35.0,0.11,0.89,-17.5,51.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,New Hampshire,Syracuse,0.0,0.0,7.0,34.0,0.05,0.95,-26.5,51.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Coastal Car,West Virginia,0.0,0.0,17.0,35.0,0.14,0.86,-17.5,55.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Tarleton St,Bowling Green,0.0,0.0,24.0,27.0,0.41,0.59,-3.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Liberty,James Madison,0.0,0.0,14.0,35.0,0.1,0.9,-20.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Ball St,Ohio St,0.0,0.0,0.0,45.0,0.0,1.0,-45.5,50.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Kent,South Carolina,0.0,0.0,7.0,42.0,0.01,0.99,-34.5,51.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,SE Missouri St,Iowa St,0.0,0.0,3.0,45.0,0.0,1.0,-41.5,51.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Youngstown St,Kentucky,0.0,0.0,14.0,42.0,0.05,0.95,-28.5,56.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Duquesne,Air Force,0.0,0.0,7.0,41.0,0.02,0.98,-34.5,53.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Rhode Island,Temple,0.0,0.0,17.0,34.0,0.14,0.86,-17.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Tennessee St,Georgia,0.0,0.0,0.0,52.0,0.0,1.0,-52.5,53.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Baylor,Auburn,0.0,0.0,24.0,28.0,0.38,0.62,-4.5,55.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Citadel,Charlotte,0.0,0.0,14.0,34.0,0.1,0.9,-20.5,50.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Boston College,Cincinnati,0.0,0.0,24.0,31.0,0.29,0.71,-7.5,55.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Tulane,Duke,0.0,0.0,24.0,29.0,0.37,0.63,-5.5,55.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Towson,Navy,0.0,0.0,7.0,41.0,0.01,0.99,-34.5,52.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Boise St,Oregon,0.0,0.0,13.0,38.0,0.06,0.94,-24.5,54.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
2026-08-17,2026,2026-09-05,Marshall,Penn St,0.0,0.0,10.0,41.0,0.03,0.97,-30.5,53.5,massey_games_20260904.txt,https://masseyratings.com/cf/fbs/games
