away_classification,away_moneyline_change,away_team,canonical_cfbd_game_id,canonical_game_id,date,home_classification,home_moneyline_change,home_spread_change,home_team,moneyline_available,moneyline_comparison_book,moneyline_comparison_status,moneyline_source_timestamp,moneyline_stale,neutral_site,previous_away_moneyline,previous_home_moneyline,previous_home_spread,previous_total,season,spread_available,spread_comparison_book,spread_comparison_status,spread_source_timestamp,spread_stale,staged_away_moneyline,staged_away_moneyline_price,staged_away_spread,staged_away_spread_price,staged_home_moneyline,staged_home_moneyline_price,staged_home_spread,staged_home_spread_price,staged_over_price,staged_total,staged_under_price,total_available,total_change,total_comparison_book,total_comparison_status,total_source_timestamp,total_stale,week
FBS,,Florida International,401862699,g80,2026-09-05,FBS,,0.0,South Florida,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-12.5,54.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,360,360,12.5,-110,-470,-470,-12.5,-110,-110,54.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Charleston So.,401868170,g41,2026-09-05,FBS,,,Georgia Southern,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Nicholls,401856771,g50,2026-09-05,FBS,,,Kansas State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Northwestern State,401869129,g54,2026-09-05,FBS,,,Louisiana Tech,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,Western Michigan,401858428,g57,2026-09-05,FBS,,0.0,Michigan,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-26.5,47.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,2000,2000,26.5,-108,-6500,-6500,-26.5,-112,-110,47.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,VMI,401858211,g94,2026-09-05,FBS,,,Virginia Tech,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FBS,,UL-Monroe,401856662,g60,2026-09-05,FBS,,-1.0,Mississippi State,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-28.5,55.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,2500,2500,29.5,-112,-9000,-9000,-29.5,-108,-110,55.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FBS,-55.0,Clemson,401856660,g52,2026-09-05,FBS,80.0,0.5,LSU,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,False,350.0,-455.0,-10.5,50.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,295,295,10.0,-108,-375,-375,-10.0,-112,-112,50.5,-108,True,0.0,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1
FBS,,Florida Atlantic,401856637,g39,2026-09-05,FBS,,-1.0,Florida,True,draftkings,accepted_value_missing,2026-08-01T14:00:33.064Z,False,False,,,-25.5,58.5,2026,True,draftkings,comparable,2026-08-01T14:00:33.064Z,False,1400,1400,26.5,-108,-3200,-3200,-26.5,-112,-110,58.5,-110,True,0.0,bovada,comparable,2026-08-01T13:59:10.000Z,False,1
FCS,,Lamar,401869142,g53,2026-09-05,FBS,,,Louisiana,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,South Dakota State,401858431,g67,2026-09-05,FBS,,,Northwestern,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Hampton,,g55,2026-09-05,FBS,,,Maryland,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
FCS,,Mercyhurst,,g65,2026-09-05,FBS,,,New Mexico State,,,no_accepted_game,,,False,,,,,2026,,,no_accepted_game,,,,,,,,,,,,,,,,,no_accepted_game,,,1
