season,week,game_id,team,opponent,prior_games,prior_off_drives,prior_off_start_ytg_sum,prior_off_short_fields,prior_off_opportunities,prior_off_opportunity_points,prior_off_opportunity_tds,prior_off_points,prior_def_drives,prior_def_opponent_start_ytg_sum,prior_def_short_fields_allowed,prior_def_opportunities_allowed,prior_def_opportunity_points_allowed,prior_def_opportunity_tds_allowed,prior_def_points_allowed,pregame_off_avg_start_ytg,pregame_off_short_field_rate,pregame_off_opportunity_rate,pregame_off_points_per_opportunity,pregame_off_td_rate_per_opportunity,pregame_off_points_per_drive,pregame_def_opponent_avg_start_ytg,pregame_def_short_field_rate_allowed,pregame_def_opportunity_rate_allowed,pregame_def_points_per_opportunity_allowed,pregame_def_td_rate_per_opportunity_allowed,pregame_def_points_per_drive_allowed
2022,4,401426570,Houston,Rice,3,36.0,2519.0,7.0,15.0,60.0,7.0,60.0,37.0,2588.0,8.0,22.0,87.0,10.0,87.0,69.97222222222223,0.19444444444444445,0.4166666666666667,4.0,0.4666666666666667,1.6666666666666667,69.94594594594595,0.21621621621621623,0.5945945945945946,3.9545454545454546,0.45454545454545453,2.3513513513513513
2022,5,401415625,Houston,Tulane,4,46.0,3258.0,7.0,20.0,87.0,10.0,87.0,49.0,3485.0,10.0,29.0,114.0,13.0,114.0,70.82608695652173,0.15217391304347827,0.43478260869565216,4.35,0.5,1.891304347826087,71.12244897959184,0.20408163265306123,0.5918367346938775,3.9310344827586206,0.4482758620689655,2.326530612244898
2022,6,401415630,Houston,Memphis,5,57.0,4051.0,8.0,25.0,108.0,13.0,108.0,59.0,4171.0,12.0,33.0,128.0,15.0,128.0,71.0701754385965,0.14035087719298245,0.43859649122807015,4.32,0.52,1.894736842105263,70.69491525423729,0.2033898305084746,0.559322033898305,3.878787878787879,0.45454545454545453,2.169491525423729
2022,8,401415640,Houston,Navy,6,69.0,4922.0,10.0,31.0,135.0,17.0,135.0,72.0,5066.0,17.0,40.0,160.0,18.0,160.0,71.33333333333333,0.14492753623188406,0.4492753623188406,4.354838709677419,0.5483870967741935,1.9565217391304348,70.36111111111111,0.2361111111111111,0.5555555555555556,4.0,0.45,2.2222222222222223
2022,9,401415643,Houston,South Florida,7,81.0,5671.0,13.0,40.0,173.0,22.0,173.0,81.0,5693.0,18.0,45.0,167.0,19.0,167.0,70.01234567901234,0.16049382716049382,0.49382716049382713,4.325,0.55,2.1358024691358026,70.28395061728395,0.2222222222222222,0.5555555555555556,3.7111111111111112,0.4222222222222222,2.0617283950617282
2022,10,401415652,Houston,SMU,8,92.0,6414.0,15.0,47.0,215.0,28.0,215.0,91.0,6437.0,18.0,52.0,194.0,23.0,194.0,69.71739130434783,0.16304347826086957,0.5108695652173914,4.574468085106383,0.5957446808510638,2.3369565217391304,70.73626373626374,0.1978021978021978,0.5714285714285714,3.730769230769231,0.4423076923076923,2.131868131868132
2022,11,401415655,Houston,Temple,9,106.0,7330.0,21.0,58.0,278.0,37.0,278.0,104.0,7194.0,23.0,63.0,271.0,34.0,271.0,69.15094339622641,0.19811320754716982,0.5471698113207547,4.793103448275862,0.6379310344827587,2.6226415094339623,69.17307692307692,0.22115384615384615,0.6057692307692307,4.301587301587301,0.5396825396825397,2.605769230769231
2022,12,401415660,Houston,East Carolina,10,116.0,7980.0,23.0,66.0,321.0,43.0,321.0,114.0,7934.0,23.0,71.0,307.0,39.0,307.0,68.79310344827586,0.19827586206896552,0.5689655172413793,4.863636363636363,0.6515151515151515,2.7672413793103448,69.59649122807018,0.20175438596491227,0.6228070175438597,4.323943661971831,0.5492957746478874,2.692982456140351
2022,13,401415668,Houston,Tulsa,11,124.0,8594.0,23.0,72.0,356.0,48.0,356.0,121.0,8476.0,23.0,74.0,310.0,39.0,310.0,69.30645161290323,0.18548387096774194,0.5806451612903226,4.944444444444445,0.6666666666666666,2.870967741935484,70.0495867768595,0.19008264462809918,0.6115702479338843,4.1891891891891895,0.527027027027027,2.56198347107438
2022,1,401405058,Illinois,Wyoming,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
