team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
Virginia Tech,BetMGM,6.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia Tech,Caesars,7.5,130.0,-160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia Tech,DraftKings,6.5,-150.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Virginia Tech,FanDuel,6.5,-154.0,126.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
W. Kentucky,BetMGM,6.5,-180.0,135.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
W. Michigan,BetMGM,7.5,120.0,-155.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
WV,FanDuel,5.5,-160.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wake Forest,BetMGM,5.5,-125.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wake Forest,Caesars,5.5,-125.0,-105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wake Forest,DraftKings,5.5,-136.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wake Forest,FanDuel,5.5,-130.0,106.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Washington,BetMGM,7.5,-160.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Washington,Caesars,7.5,-155.0,130.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Washington,FanDuel,7.5,-150.0,122.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Washington Huskies,DraftKings,7.5,-170.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Washington St,BetMGM,4.5,-190.0,145.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Washington State,DraftKings,5.5,134.0,-175.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
West Virginia,BetMGM,5.5,-175.0,135.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
West Virginia,Caesars,5.5,-150.0,115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
West Virginia,DraftKings,5.5,-150.0,125.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Western Kentucky,Caesars,6.5,-180.0,140.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Western Kentucky Hilltoppers,DraftKings,7.5,125.0,-160.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Western Michigan,Caesars,7.5,115.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Western Michigan,DraftKings,7.5,120.0,-150.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wisconsin,BetMGM,6.5,-135.0,105.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wisconsin,Caesars,6.5,-130.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wisconsin,DraftKings,6.5,-105.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wisconsin,FanDuel,6.5,-122.0,100.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wyoming,BetMGM,5.5,-110.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wyoming,Caesars,5.5,-115.0,-115.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Wyoming,DraftKings,5.5,-110.0,-120.0,2026-07-01T18:08:29+00:00,market_win_totals_history.csv
Air Force,BetMGM,6.5,-165.0,130.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Air Force,Caesars,6.5,-190.0,145.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Air Force,DraftKings,6.5,-160.0,125.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Akron,BetMGM,4.5,-115.0,-115.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Akron,Caesars,4.5,-120.0,-110.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Akron,DraftKings,4.5,-125.0,-105.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Alabama,BetMGM,8.5,-125.0,100.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Alabama,Caesars,8.5,-120.0,-110.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Alabama,DraftKings,8.5,100.0,-120.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Alabama,FanDuel,8.5,-120.0,-102.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
App State,BetMGM,5.5,-165.0,130.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Appalachian St.,Caesars,5.5,-160.0,125.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Appalachian State,DraftKings,5.5,-166.0,130.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona,BetMGM,7.5,110.0,-140.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona,Caesars,7.5,105.0,-135.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona,FanDuel,7.5,114.0,-140.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona State,BetMGM,6.5,-130.0,100.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona State,Caesars,6.5,-140.0,110.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
