game_id,away_team,home_team,has_site_spread,has_site_total,has_dratings_spread,has_dratings_total,has_fpi_spread,has_fpi_total,has_massey_spread,has_massey_total,has_sp_spread,has_sp_total,has_sagarin_predictor_spread,has_sagarin_predictor_total,has_sagarin_rating_spread,has_sagarin_rating_total,has_teamrankings_spread,has_teamrankings_total
g65,Mercyhurst,New Mexico State,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g66,Fordham,North Dakota State,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g67,South Dakota State,Northwestern,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g68,Ball State,Ohio State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g69,UTEP,Oklahoma,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g70,Norfolk State,Old Dominion,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g71,Boise State,Oregon,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g72,Marshall,Penn State,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g73,Miami-OH,Pittsburgh,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g74,Indiana State,Purdue,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g75,HCU,Rice,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g76,MVSU,Sacramento State,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g77,Portland State,San Diego State,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
g78,Southeastern La.,South Alabama,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
g79,Kent State,South Carolina,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g80,Florida International,South Florida,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g81,Alcorn State,Southern Miss,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g82,New Hampshire,Syracuse,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g83,Rhode Island,Temple,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g84,Furman,Tennessee,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g85,Texas State,Texas,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g86,Missouri State,Texas A&M,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g87,Abilene Christian,Texas Tech,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
g88,Sam Houston,Troy,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g89,Oklahoma State,Tulsa,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g90,Fresno State,USC,True,True,True,True,True,False,True,True,True,True,False,False,True,False,True,False
g91,UTRGV,UTSA,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
g92,Idaho State,Utah State,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
