source,date,away,home,matched,game_id,match_method,status,rows
Massey Games,2026-09-05,Murray St,MTSU,True,g59,exact,,
Massey Games,2026-09-05,Sam Houston St,Troy,True,g88,exact,,
Massey Games,2026-09-05,Louisville,Mississippi,True,g98,date_tolerance,,
Massey Games,2026-09-05,Clemson,LSU,True,g52,exact,,
Massey Games,2026-09-05,W Michigan,Michigan,True,g57,exact,,
Massey Games,2026-09-05,ULM,Mississippi St,True,g60,exact,,
Massey Games,2026-09-05,VMI,Virginia Tech,True,g94,exact,,
Massey Games,2026-09-05,Northwestern LA,Louisiana Tech,True,g54,exact,,
Massey Games,2026-09-05,FL Atlantic,Florida,True,g39,exact,,
Massey Games,2026-09-05,Utah Tech,BYU,True,g31,exact,,
Massey Games,2026-09-05,Toledo,Michigan St,True,g58,exact,,
Massey Games,2026-09-05,Ark Pine Bluff,Missouri,False,,unmatched,,
Massey Games,2026-09-05,S Dakota St,Northwestern,True,g67,exact,,
Massey Games,2026-09-05,Lamar,Louisiana,True,g53,exact,,
Massey Games,2026-09-05,Hampton,Maryland,True,g55,exact,,
Massey Games,2026-09-05,Morgan St,Arizona St,True,g27,exact,,
Massey Games,2026-09-05,Fresno St,USC,True,g90,exact,,
Massey Games,2026-09-05,Mercyhurst,New Mexico St,True,g65,exact,,
Massey Games,2026-09-05,Northern Arizona,Arizona,True,g26,exact,,
Massey Games,2026-09-05,Portland St,San Diego St,True,g77,exact,,
Massey Games,2026-09-05,MS Valley St,CS Sacramento,False,,unmatched,,
Massey Games,2026-09-05,UNLV,Hawaii,True,g42,exact,,
Massey Games,2026-09-05,C Michigan,New Mexico,True,g64,exact,,
Massey Games,2026-09-05,UCLA,California,True,g33,exact,,
Massey Games,2026-09-05,WKU,Nevada,True,g63,exact,,
Massey Games,2026-09-06,Notre Dame,Wisconsin,True,g97,neutral_reversed,,
Massey Games,2026-09-07,SMU,Florida St,True,g99,exact,,
Massey Games,2026-09-10,Florida A&M,Miami FL,True,g100,exact,,
Massey Games,2026-09-11,Villanova,Louisville,True,g103,exact,,
Massey Games,2026-09-11,Norfolk St,Virginia,True,g179,date_tolerance,,
Massey Games,2026-09-11,Rutgers,Boston College,True,g101,exact,,
Massey Games,2026-09-12,South Florida,Army,True,g107,exact,,
Massey Games,2026-09-12,Appalachian St,East Carolina,True,g120,exact,,
Massey Games,2026-09-12,Howard,Indiana,True,g130,exact,,
Massey Games,2026-09-12,Washington St,Kansas St,True,g133,exact,,
Massey Games,2026-09-12,Oklahoma,Michigan,True,g142,exact,,
Massey Games,2026-09-12,ETSU,North Carolina,True,g150,exact,,
Massey Games,2026-09-12,Oregon,Oklahoma St,True,g155,exact,,
Massey Games,2026-09-12,Wake Forest,Purdue,True,g159,exact,,
Massey Games,2026-09-12,Penn St,Temple,True,g166,exact,,
Massey Games,2026-09-12,Arizona St,Texas A&M,True,g168,exact,,
Massey Games,2026-09-12,Old Dominion,Virginia Tech,True,g180,exact,,
Massey Games,2026-09-12,Wofford,Kent,True,g135,exact,,
Massey Games,2026-09-12,WKU,Georgia,True,g125,exact,,
Massey Games,2026-09-12,TN Martin,West Virginia,False,,unmatched,,
Massey Games,2026-09-12,Colgate,C Michigan,True,g113,exact,,
Massey Games,2026-09-12,Holy Cross,Miami OH,True,g141,exact,,
Massey Games,2026-09-12,Stony Brook,Ball St,True,g110,exact,,
Massey Games,2026-09-12,Arizona,BYU,True,g109,exact,,
Massey Games,2026-09-12,Weber St,Colorado,True,g117,exact,,
Massey Games,2026-09-12,Maryland,Connecticut,True,g119,exact,,
Massey Games,2026-09-12,Duke,Illinois,True,g129,exact,,
Massey Games,2026-09-12,Alabama,Kentucky,True,g136,exact,,
Massey Games,2026-09-12,E Michigan,Michigan St,True,g143,exact,,
Massey Games,2026-09-12,Mississippi St,Minnesota,True,g144,exact,,
Massey Games,2026-09-12,Rice,Notre Dame,True,g153,exact,,
Massey Games,2026-09-12,UCF,Pittsburgh,True,g158,exact,,
Massey Games,2026-09-12,California,Syracuse,True,g164,exact,,
Massey Games,2026-09-12,UT San Antonio,Texas St,True,g169,exact,,
Massey Games,2026-09-12,ULM,UAB,True,g173,exact,,
Massey Games,2026-09-12,Utah St,Washington,True,g181,exact,,
Massey Games,2026-09-12,Robert Morris,Akron,True,g105,exact,,
Massey Games,2026-09-12,Wagner,James Madison,True,g132,exact,,
Massey Games,2026-09-12,Central Conn,Toledo,False,,unmatched,,
Massey Games,2026-09-12,Sacred Heart,Massachusetts,True,g140,exact,,
Massey Games,2026-09-12,UNLV,North Texas,True,g151,exact,,
Massey Games,2026-09-12,UC Davis,SMU,True,g160,exact,,
Massey Games,2026-09-12,Alabama St,Troy,True,g171,exact,,
Massey Games,2026-09-12,N Colorado,Wyoming,False,,unmatched,,
Massey Games,2026-09-12,Cal Poly,San Jose St,True,g162,exact,,
Massey Games,2026-09-12,Mercyhurst,New Mexico,True,g149,exact,,
Massey Games,2026-09-12,Delaware,Vanderbilt,True,g178,exact,,
Massey Games,2026-09-12,Campbell,Florida,True,g121,exact,,
Massey Games,2026-09-12,Memphis,Boise St,True,g112,exact,,
Massey Games,2026-09-12,Buffalo,Florida Intl,True,g123,exact,,
Massey Games,2026-09-12,Jacksonville St,Ohio,True,g154,exact,,
Massey Games,2026-09-12,Gardner Webb,Liberty,True,g138,exact,,
Massey Games,2026-09-12,Monmouth NJ,W Michigan,False,,unmatched,,
Massey Games,2026-09-12,W Carolina,Cincinnati,False,,unmatched,,
Massey Games,2026-09-12,Southern Utah,Colorado St,True,g118,exact,,
Massey Games,2026-09-12,Tennessee,Georgia Tech,True,g126,exact,,
Massey Games,2026-09-12,Southern Univ,Houston,False,,unmatched,,
Massey Games,2026-09-12,Bowling Green,Nebraska,True,g147,exact,,
Massey Games,2026-09-12,Richmond,NC State,True,g146,exact,,
Massey Games,2026-09-12,Tulsa,Sam Houston St,True,g161,exact,,
Massey Games,2026-09-12,Towson,South Carolina,True,g163,exact,,
Massey Games,2026-09-12,South Alabama,Tulane,True,g172,exact,,
Massey Games,2026-09-12,Georgia St,Kennesaw,True,g134,exact,,
Massey Games,2026-09-12,West Georgia,Arkansas St,True,g106,exact,,
Massey Games,2026-09-12,Illinois St,N Illinois,True,g152,exact,,
Massey Games,2026-09-12,Lindenwood,Missouri St,True,g145,exact,,
Massey Games,2026-09-12,MTSU,Marshall,True,g139,exact,,
Massey Games,2026-09-12,San Diego St,UCLA,True,g174,exact,,
Massey Games,2026-09-12,W Illinois,Wisconsin,False,,unmatched,,
Massey Games,2026-09-12,Southern Miss,Auburn,True,g108,exact,,
Massey Games,2026-09-12,Ga Southern,Clemson,True,g115,exact,,
Massey Games,2026-09-12,Navy,FL Atlantic,True,g122,exact,,
Massey Games,2026-09-12,Iowa St,Iowa,True,g131,exact,,
Massey Games,2026-09-12,Louisiana Tech,LSU,True,g137,exact,,
Massey Games,2026-09-12,Texas Tech,Oregon St,True,g157,exact,,
Massey Games,2026-09-12,Ohio St,Texas,True,g167,exact,,
Massey Games,2026-09-12,Fordham,Coastal Car,True,g116,exact,,
Massey Games,2026-09-12,Charlotte,Mississippi,True,g156,exact,,
Massey Games,2026-09-12,Prairie View,Baylor,False,,unmatched,,
Massey Games,2026-09-12,Missouri,Kansas,True,g102,date_tolerance,,
Massey Games,2026-09-12,Grambling,TCU,False,,unmatched,,
Massey Games,2026-09-12,TX Southern,UTEP,True,g176,exact,,
Massey Games,2026-09-12,N Dakota St,Air Force,True,g104,exact,,
Massey Games,2026-09-12,Arkansas,Utah,True,g177,exact,,
Massey Games,2026-09-12,CS Sacramento,Fresno St,True,g124,exact,,
Massey Games,2026-09-12,Montana St,Nevada,True,g148,exact,,
Massey Games,2026-09-12,Louisiana,USC,True,g175,exact,,
Massey Games,2026-09-12,New Mexico St,Hawaii,True,g127,exact,,
Massey Games,2026-09-10,Florida A&M,Miami FL,True,g100,exact,,
Massey Games,2026-09-11,Villanova,Louisville,True,g103,exact,,
Massey Games,2026-09-11,Norfolk St,Virginia,True,g179,date_tolerance,,
Massey Games,2026-09-11,Rutgers,Boston College,True,g101,exact,,
Massey Games,2026-09-12,South Florida,Army,True,g107,exact,,
Massey Games,2026-09-12,Appalachian St,East Carolina,True,g120,exact,,
Massey Games,2026-09-12,Howard,Indiana,True,g130,exact,,
Massey Games,2026-09-12,Washington St,Kansas St,True,g133,exact,,
Massey Games,2026-09-12,Oklahoma,Michigan,True,g142,exact,,
Massey Games,2026-09-12,ETSU,North Carolina,True,g150,exact,,
Massey Games,2026-09-12,Oregon,Oklahoma St,True,g155,exact,,
Massey Games,2026-09-12,Wake Forest,Purdue,True,g159,exact,,
Massey Games,2026-09-12,Penn St,Temple,True,g166,exact,,
Massey Games,2026-09-12,Arizona St,Texas A&M,True,g168,exact,,
Massey Games,2026-09-12,Old Dominion,Virginia Tech,True,g180,exact,,
Massey Games,2026-09-12,Wofford,Kent,True,g135,exact,,
Massey Games,2026-09-12,WKU,Georgia,True,g125,exact,,
Massey Games,2026-09-12,TN Martin,West Virginia,False,,unmatched,,
Massey Games,2026-09-12,Colgate,C Michigan,True,g113,exact,,
Massey Games,2026-09-12,Holy Cross,Miami OH,True,g141,exact,,
Massey Games,2026-09-12,Stony Brook,Ball St,True,g110,exact,,
Massey Games,2026-09-12,Arizona,BYU,True,g109,exact,,
Massey Games,2026-09-12,Weber St,Colorado,True,g117,exact,,
Massey Games,2026-09-12,Maryland,Connecticut,True,g119,exact,,
