team,team_normalized,historical_conference,current_2026_conference,development_home_games,raw_team_hfa,conference_hfa,shrunk_team_hfa,current_site_hfa,difference_recommended_vs_current,difference_recommended_vs_2_5,holdout_2025_home_games,holdout_current_site_mae,holdout_conference_team_mae,confidence
Texas State,texas state,Sun Belt,PAC12,6,5.416666666666668,2.4417531905688947,3.291728469453973,2.3,0.9917284694539732,0.791728469453973,0,,,Low
Toledo,toledo,Mid-American,MAC,6,-2.7333333333333325,2.344403122004656,0.8936212776223735,2.6,-1.7063787223776266,-1.6063787223776265,2,3.1000000000000014,1.6999999999999993,Low
Ohio,ohio,Mid-American,MAC,5,3.9400000000000004,2.344403122004656,2.743302341503492,2.9,-0.15669765849650785,0.24330234150349206,1,2.3000000000000007,2.456697658496509,Low
UL Monroe,ul monroe,Sun Belt,Sun Belt,1,-0.7999999999999989,2.4417531905688947,2.239143616158339,1.5,0.7391436161583389,-0.2608563838416611,0,,,Low
bowling green,bowling green,,MAC,0,,2.5392492537313434,2.5392492537313434,1.5,1.0392492537313434,0.03924925373134336,0,,,Low
central michigan,central michigan,,MAC,0,,2.5392492537313434,2.5392492537313434,1.7,0.8392492537313434,0.03924925373134336,0,,,Low
delaware,delaware,,CUSA,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,2,3.05,3.05,Low
eastern michigan,eastern michigan,,MAC,0,,2.5392492537313434,2.5392492537313434,1.5,1.0392492537313434,0.03924925373134336,0,,,Low
florida atlantic,florida atlantic,,American,0,,2.5392492537313434,2.5392492537313434,1.8,0.7392492537313433,0.03924925373134336,0,,,Low
georgia southern,georgia southern,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,3.6,-1.0607507462686567,0.03924925373134336,0,,,Low
georgia tech,georgia tech,,ACC,0,,2.5392492537313434,2.5392492537313434,1.4,1.1392492537313434,0.03924925373134336,0,,,Low
hawaii,hawaii,,MW,0,,2.5392492537313434,2.5392492537313434,2.1,0.43924925373134327,0.03924925373134336,0,,,Low
jacksonville st,jacksonville st,,CUSA,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
james madison,james madison,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,2.7,-0.16075074626865682,0.03924925373134336,0,,,Low
kennesaw state,kennesaw state,,CUSA,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,3,1.5999999999999996,1.418895522388059,Low
kent st,kent st,,MAC,0,,2.5392492537313434,2.5392492537313434,2.1,0.43924925373134327,0.03924925373134336,0,,,Low
louisiana tech,louisiana tech,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,2.4,0.13924925373134345,0.03924925373134336,0,,,Low
miami fl,miami fl,,ACC,0,,2.5392492537313434,2.5392492537313434,1.7,0.8392492537313434,0.03924925373134336,0,,,Low
miami oh,miami oh,,MAC,0,,2.5392492537313434,2.5392492537313434,2.7,-0.16075074626865682,0.03924925373134336,0,,,Low
middle tennessee,middle tennessee,,CUSA,0,,2.5392492537313434,2.5392492537313434,3.2,-0.6607507462686568,0.03924925373134336,0,,,Low
mississippi st,mississippi st,,SEC,0,,2.5392492537313434,2.5392492537313434,2.6,-0.06075074626865673,0.03924925373134336,0,,,Low
missouri state,missouri state,,CUSA,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,3,1.8666666666666654,1.8062985074626845,Low
north carolina,north carolina,,ACC,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
north dakota state,north dakota state,,MW,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
north texas,north texas,,American,0,,2.5392492537313434,2.5392492537313434,2.9,-0.36075074626865655,0.03924925373134336,0,,,Low
northern illinois,northern illinois,,MW,0,,2.5392492537313434,2.5392492537313434,1.1,1.4392492537313433,0.03924925373134336,0,,,Low
old dominion,old dominion,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,1.7,0.8392492537313434,0.03924925373134336,0,,,Low
