path,market,relevant_columns,max_populated_rows,rows,games
/Users/jameslindesmith/NCAAF_AUTO/data/site/dry_run/shadow_market_replay_game_audit.csv,spread,baseline_market_spread | shadow_spread | later_market_spread | baseline_spread_error_to_later_market | shadow_spread_error_to_later_market | spread_market_error_improvement | shadow_improved_later_spread_estimate | shadow_spread_movement_direction | later_spread_movement_direction | spread_direction_agreement | baseline_spread_error_to_actual | shadow_spread_error_to_actual | shadow_improved_actual_spread_diagnostic,67,67,67.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/dry_run/shadow_market_replay_game_audit.csv,total,baseline_market_total | shadow_total | later_market_total | baseline_total_error_to_later_market | shadow_total_error_to_later_market | total_market_error_improvement | shadow_improved_later_total_estimate | shadow_total_movement_direction | later_total_movement_direction | total_direction_agreement | actual_total | baseline_total_error_to_actual | shadow_total_error_to_actual | shadow_improved_actual_total_diagnostic,67,67,67.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/saturday_shadow_lines.csv,spread,official_model_spread | opening_spread | closing_spread | market_baseline_spread | raw_matchup_spread_delta | spread_components | missing_spread_components | away_spread_impact | home_spread_impact | applied_spread_delta | saturday_shadow_spread | expected_spread_clv | spread_status | spread_projected_market_value_score | shadow_spread_formula | spread_projection_readiness | spread_impact | spread_value_tier | spread_value_label | current_model_spread | current_market_spread | predicted_market_rating_spread | predicted_updated_sp_plus_spread,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/saturday_shadow_lines.csv,total,official_model_total | opening_total | current_market_total | closing_total | market_baseline_total | market_baseline_total_source | raw_total_delta | total_components | missing_total_components | away_total_impact | home_total_impact | applied_total_delta | saturday_shadow_total | expected_total_clv | total_data_state | total_status | total_projected_market_value_score | total_impact | total_value_tier | total_value_label | current_model_total | predicted_sp_plus_component_total | raw_60_40_total | total_bias_correction,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/saturday_shadow_lines.json,spread,official_model_spread | opening_spread | closing_spread | market_baseline_spread | raw_matchup_spread_delta | missing_spread_components | away_spread_impact | home_spread_impact | applied_spread_delta | saturday_shadow_spread | expected_spread_clv | spread_status | spread_projected_market_value_score | shadow_spread_formula | spread_projection_readiness | spread_impact | spread_value_tier | spread_value_label | current_model_spread | current_market_spread | predicted_market_rating_spread | predicted_updated_sp_plus_spread | spread_components.predicted_market_rating_spread | spread_components.predicted_updated_sp_plus_spread,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/data/site/saturday_shadow_lines.json,total,official_model_total | opening_total | current_market_total | closing_total | market_baseline_total | market_baseline_total_source | raw_total_delta | missing_total_components | away_total_impact | home_total_impact | applied_total_delta | saturday_shadow_total | expected_total_clv | total_data_state | total_status | total_projected_market_value_score | total_impact | total_value_tier | total_value_label | current_model_total | predicted_sp_plus_component_total | raw_60_40_total | total_bias_correction | total_components.predicted_sp_plus_component_total | total_components.existing_projected_total,902,902,902.0
/Users/jameslindesmith/NCAAF_AUTO/SGO/sgo_ncaaf_2024_2025_halves_odds.csv,spread,home_game_spread | home_game_spread_book | home_game_spread_price | away_game_spread | away_game_spread_book | away_game_spread_price | home_1h_spread | home_1h_spread_book | home_1h_spread_price | away_1h_spread | away_1h_spread_book | away_1h_spread_price | home_2h_spread | home_2h_spread_book | home_2h_spread_price | away_2h_spread | away_2h_spread_book | away_2h_spread_price,2863,2863,2863.0
/Users/jameslindesmith/NCAAF_AUTO/SGO/sgo_ncaaf_2024_2025_halves_odds.csv,total,final_total_points | one_h_total_points | two_h_total_points_incl_ot | game_total | game_total_result | one_h_total | one_h_total_result | two_h_total | two_h_total_result,2863,2863,2863.0
/Users/jameslindesmith/NCAAF_AUTO/SGO/sgo_ncaaf_2024_2025_halves_odds.csv,first_half,away_1h_points | home_1h_points | home_1h_margin | home_1h_spread | home_1h_spread_book | home_1h_spread_price | away_1h_spread | away_1h_spread_book | away_1h_spread_price | home_1h_ats_result,2863,2863,2863.0
/Users/jameslindesmith/NCAAF_AUTO/SGO/sgo_ncaaf_2024_2025_halves_odds.csv,second_half,away_2h_points_incl_ot | home_2h_points_incl_ot | home_2h_margin_incl_ot | home_2h_spread | home_2h_spread_book | home_2h_spread_price | away_2h_spread | away_2h_spread_book | away_2h_spread_price | home_2h_ats_result,2863,2863,2863.0
