snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-07-17,2026,Kentucky Wildcats,,DraftKings,4.5,-136,115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Kentucky Wildcats
2026-07-17,2026,Wake Forest,,DraftKings,5.5,-136,115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Wake Forest Demon Deacons
2026-07-17,2026,UL-Monroe Warhawks,,DraftKings,3.5,-115,-115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UL-Monroe Warhawks
2026-07-17,2026,Kennesaw State,,DraftKings,6.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Kennesaw State Owls
2026-07-17,2026,Southern Miss,,DraftKings,3.5,-130,100,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Southern Miss Golden Eagles
2026-07-17,2026,Bowling Green,,DraftKings,4.5,-160,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Bowling Green Falcons
2026-07-17,2026,Utah State,,DraftKings,5.5,175,-230,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Utah State Aggies
2026-07-17,2026,UConn Huskies,,DraftKings,5.5,-105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UConn Huskies
2026-07-17,2026,Duke Blue Devils,,DraftKings,5.5,-130,110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Duke Blue Devils
2026-07-17,2026,Miami (OH) RedHawks,,DraftKings,7.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Miami (OH) RedHawks
2026-07-17,2026,Navy Midshipmen,,DraftKings,7.5,-160,125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Navy Midshipmen
2026-07-17,2026,UCF,,DraftKings,5.5,-130,110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=UCF Knights
2026-07-17,2026,New Mexico,,DraftKings,8.5,140,-180,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=New Mexico Lobos
2026-07-17,2026,Texas State Bobcats,,DraftKings,6.5,130,-166,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Texas State Bobcats
2026-07-17,2026,Ball State Cardinals,,DraftKings,3.5,-120,-110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Ball State Cardinals
2026-07-17,2026,Air Force,,DraftKings,7.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Air Force Falcons
2026-07-17,2026,Tennessee,,DraftKings,7.5,105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Tennessee Volunteers
2026-07-17,2026,Georgia Southern,,DraftKings,4.5,-150,120,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Georgia Southern Eagles
2026-07-17,2026,San Diego State,,DraftKings,7.5,144,-190,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=San Diego State Aztecs
2026-07-17,2026,Sam Houston State Bearkats,,DraftKings,3.5,125,-160,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Sam Houston State Bearkats
2026-07-17,2026,Memphis,,DraftKings,7.5,-125,-105,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Memphis Tigers
2026-07-17,2026,Houston,,DraftKings,8.5,130,-156,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Houston Cougars
2026-07-17,2026,East Carolina,,DraftKings,7.5,-105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=East Carolina Pirates
2026-07-17,2026,Georgia,,DraftKings,9.5,-180,150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Georgia Bulldogs
2026-07-17,2026,Clemson,,DraftKings,7.5,-130,110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Clemson Tigers
2026-07-17,2026,Liberty,,DraftKings,8.5,115,-146,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Liberty Flames
2026-07-17,2026,South Alabama Jaguars,,DraftKings,5.5,-130,100,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=South Alabama Jaguars
2026-07-17,2026,Florida International,,DraftKings,6.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Florida International Panthers
