game_id,season,week,start_date,away_team,home_team,opening_total,closing_total,actual_total,normalized_away,normalized_home
401520396,2023,11,2023-11-11T17:00:00.000Z,Vanderbilt,South Carolina,,53.5,53.0,vanderbilt,south carolina
401525547,2023,11,2023-11-11T17:00:00.000Z,Virginia Tech,Boston College,,48.5,70.0,virginia tech,boston college
401525548,2023,11,2023-11-11T17:00:00.000Z,Georgia Tech,Clemson,,55.5,63.0,georgia tech,clemson
401525888,2023,11,2023-11-11T17:00:00.000Z,Texas Tech,Kansas,,61.5,29.0,texas tech,kansas
401531344,2023,11,2023-11-11T17:00:00.000Z,Tulsa,Tulane,,52.5,46.0,tulsa,tulane
401531393,2023,11,2023-11-11T17:00:00.000Z,Temple,South Florida,,70.5,50.0,temple,south florida
401520388,2023,11,2023-11-11T18:00:00.000Z,Old Dominion,Liberty,,58.5,48.0,old dominion,liberty
401532443,2023,12,2023-11-15T00:00:00.000Z,Toledo,Bowling Green,,48.5,63.0,toledo,bowling green
401532444,2023,12,2023-11-15T00:00:00.000Z,Western Michigan,Northern Illinois,,55.5,24.0,western michigan,northern illinois
401532445,2023,12,2023-11-15T00:00:00.000Z,Akron,Eastern Michigan,,39.5,57.0,akron,eastern michigan
401520416,2023,12,2023-11-18T17:00:00.000Z,UL Monroe,Ole Miss,,59.5,38.0,louisiana monroe,mississippi
401532450,2023,13,2023-11-22T00:00:00.000Z,Bowling Green,Western Michigan,,50.5,44.0,bowling green,western michigan
401532449,2023,13,2023-11-22T00:30:00.000Z,Eastern Michigan,Buffalo,,38.5,35.0,eastern michigan,buffalo
401539482,2023,14,2023-12-02T20:00:00.000Z,Boise State,UNLV,,62.5,64.0,boise state,unlv
401635525,2024,1,2024-08-24T16:00:00.000Z,Florida State,Georgia Tech,,54.5,45.0,florida state,georgia tech
401643696,2024,1,2024-08-25T00:00:00.000Z,SMU,Nevada,,55.5,53.0,smu,nevada
