game_id,week,date,away_team,home_team,projection_margin_home,projection_margin_home_source,projection_margin_home_raw,market_spread_home,market_spread_home_source,market_spread_home_raw,ats_edge_home,ats_edge_side,projected_total,projected_total_source,projected_total_raw,market_total,market_total_source,market_total_raw,total_edge,total_side,has_projection_spread,has_market_spread,has_ats_edge,has_projection_total,has_market_total,has_total_edge,possible_pk_bug
g152,2,2026-09-12,Illinois State,Northern Illinois,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g153,2,2026-09-12,Rice,Notre Dame,43.7,blend_spread_home,43.7,,,,,,52.0,blend_total,52.0,,,,,,True,False,False,True,False,False,False
g154,2,2026-09-12,Jacksonville State,Ohio,-3.0,blend_spread_home,-3.0,,,,,,48.1,blend_total,48.1,,,,,,True,False,False,True,False,False,False
g155,2,2026-09-12,Oregon,Oklahoma State,-18.4,blend_spread_home,-18.4,,,,,,53.3,blend_total,53.3,,,,,,True,False,False,True,False,False,False
g156,2,2026-09-12,Charlotte,Ole Miss,50.7,blend_spread_home,50.7,,,,,,53.7,blend_total,53.7,,,,,,True,False,False,True,False,False,False
g157,2,2026-09-12,Texas Tech,Oregon State,-25.9,blend_spread_home,-25.9,,,,,,49.8,blend_total,49.8,,,,,,True,False,False,True,False,False,False
g158,2,2026-09-12,Central Florida,Pittsburgh,6.1,blend_spread_home,6.1,,,,,,50.3,blend_total,50.3,,,,,,True,False,False,True,False,False,False
g159,2,2026-09-12,Wake Forest,Purdue,-5.2,blend_spread_home,-5.2,,,,,,48.0,blend_total,48.0,,,,,,True,False,False,True,False,False,False
g160,2,2026-09-12,UC Davis,SMU,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g161,2,2026-09-12,Tulsa,Sam Houston,-16.2,blend_spread_home,-16.2,,,,,,54.6,blend_total,54.6,,,,,,True,False,False,True,False,False,False
g162,2,2026-09-12,Cal Poly,San Jose State,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g163,2,2026-09-12,Towson,South Carolina,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g164,2,2026-09-12,California,Syracuse,-1.5,blend_spread_home,-1.5,,,,,,51.6,blend_total,51.6,,,,,,True,False,False,True,False,False,False
g165,2,2026-09-12,Grambling State,TCU,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g166,2,2026-09-12,Penn State,Temple,-21.5,blend_spread_home,-21.5,,,,,,55.9,blend_total,55.9,,,,,,True,False,False,True,False,False,False
g167,2,2026-09-12,Ohio State,Texas,-5.1,blend_spread_home,-5.1,,,,,,50.7,blend_total,50.7,,,,,,True,False,False,True,False,False,False
g168,2,2026-09-12,Arizona State,Texas A&M,16.4,blend_spread_home,16.4,,,,,,51.7,blend_total,51.7,,,,,,True,False,False,True,False,False,False
g169,2,2026-09-12,UTSA,Texas State,-2.1,blend_spread_home,-2.1,,,,,,65.2,blend_total,65.2,,,,,,True,False,False,True,False,False,False
g170,2,2026-09-12,CCSU,Toledo,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g171,2,2026-09-12,Alabama State,Troy,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g172,2,2026-09-12,South Alabama,Tulane,10.9,blend_spread_home,10.9,,,,,,54.3,blend_total,54.3,,,,,,True,False,False,True,False,False,False
g173,2,2026-09-12,UL-Monroe,UAB,10.0,blend_spread_home,10.0,,,,,,55.2,blend_total,55.2,,,,,,True,False,False,True,False,False,False
g174,2,2026-09-12,San Diego State,UCLA,8.1,blend_spread_home,8.1,,,,,,50.5,blend_total,50.5,,,,,,True,False,False,True,False,False,False
