snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-13,Preseason,2026,g138,401868187,2026-09-12,2,Gardner-Webb,Liberty,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g139,,2026-09-12,2,Middle Tennessee,Marshall,,,,,14.3,-14.3,58.7,,,,,,
2026-07-13,Preseason,2026,g140,401866420,2026-09-12,2,Sacred Heart,Massachusetts,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g141,401866417,2026-09-12,2,Holy Cross,Miami-OH,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g142,401856679,2026-09-12,2,Oklahoma,Michigan,-2.5,45.5,,45.5,1.167,-1.167,47.6,fanduel,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betparx,betrivers,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g143,401858440,2026-09-12,2,Eastern Michigan,Michigan State,,,,,17.2,-17.2,51.6,,,,,,
2026-07-13,Preseason,2026,g144,401856677,2026-09-12,2,Mississippi State,Minnesota,,,,,2.233,-2.233,50.8,,,,,,
2026-07-13,Preseason,2026,g145,,2026-09-12,2,Lindenwood,Missouri State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g146,401858222,2026-09-12,2,Richmond,NC State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g147,401858441,2026-09-12,2,Bowling Green,Nebraska,,,,,24.567,-24.567,46.9,,,,,,
2026-07-13,Preseason,2026,g148,401864500,2026-09-12,2,Montana State,Nevada,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g149,401865252,2026-09-12,2,Mercyhurst,New Mexico,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g150,401858218,2026-09-12,2,ETSU,North Carolina,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g151,401862705,2026-09-12,2,UNLV,North Texas,,,,,-7.333,7.333,59.2,,,,,,
2026-07-13,Preseason,2026,g152,401864503,2026-09-12,2,Illinois State,Northern Illinois,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g153,401859184,2026-09-12,2,Rice,Notre Dame,,,,,44.567,-44.567,52.0,,,,,,
2026-07-13,Preseason,2026,g154,401866418,2026-09-12,2,Jacksonville State,Ohio,,,,,1.033,-1.033,48.1,,,,,,
2026-07-13,Preseason,2026,g155,401856782,2026-09-12,2,Oregon,Oklahoma State,17.5,59.5,,,-19.2,19.2,53.3,fanduel,fanduel,"coolbet,draftkings,fanduel,hardrockbet,pointsbet,sportsbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
