market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,0.5,-0.0177864264731801,-0.017786426473180083,1.734723475976807e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,1.0,-0.0158809873647759,-0.01588098736477595,-5.204170427930421e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,1.5,-0.0044474327000212,-0.004447432700021262,-6.158268339717665e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,2.0,-0.0073921587241802,-0.007392158724180217,-1.6479873021779667e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,2.5,0.0289789319934538,0.028978931993453836,3.469446951953614e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,3.0,0.0431744547118266,0.0431744547118267,1.0408340855860843e-16
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,3.5,0.0567023528258115,0.056702352825811576,7.632783294297951e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,4.0,0.0743526273910516,0.0743526273910517,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,4.5,0.0886486468263286,0.08864864682632864,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,5.0,0.1344965428768066,0.13449654287680665,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,6.0,0.1850177719148579,0.18501777191485794,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,7.0,0.2775838216656555,0.27758382166565554,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,8.0,0.3567599066890203,0.3567599066890204,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,9.0,0.500617368891223,0.500617368891223,0.0
spread,spread_4src_25_25_25_25_v1,THU_2PM_ET,10.0,0.6304659483494595,0.6304659483494595,0.0
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,0.5,-0.0186500887341099,-0.018650088734109883,1.734723475976807e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,1.0,-0.0085064250832525,-0.008506425083252512,-1.214306433183765e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,1.5,0.0010845176613113,0.0010845176613113615,6.158268339717665e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,2.0,-0.0079015260364403,-0.007901526036440353,-5.377642775528102e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,2.5,0.0181867626384163,0.01818676263841639,9.020562075079397e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,3.0,0.0291093440346957,0.029109344034695794,9.367506770274758e-17
