"Name","School","Conference","Overall","Routes","Hands","Explosive","Pass Block","Running"
"Kymistrii Young","UNC","ACC","9.60","9.60","9.60","9.60","9.60","9.60"
"Antonio Jordan","Ark","SEC","9.60","9.60","9.60","9.60","9.60","9.60"
"Jamien Little","Duke","ACC","9.60","9.60","9.60","9.60","9.60","9.60"
"Jaylin Marshall","GaSt","SBC","9.59","9.64","11.11","6.18","1.84","1.84"
"Terrell Wilfong","Cuse","ACC","9.59","9.59","9.59","9.59","9.59","9.59"
"Kason Stokes","MTSU","CUSA","9.58","9.44","8.51","7.66","4.54","10.80"
"Eric Richardson","Wyo","MWC","9.58","9.43","5.06","8.92","1.31","10.37"
"Jaborree Riggins","Akr","MAC","9.58","9.58","9.58","9.58","9.58","9.58"
"Camp Magee","NW","Big10","9.58","9.58","9.58","9.58","9.58","9.58"
"Terrence Smith Jr.","ColSt","Pac12","9.57","9.74","8.82","6.79","3.85","9.57"
"Ja'Kayden Ferguson","UK","SEC","9.57","9.58","10.15","8.33","6.84","6.84"
"Kamari Maxwell","SHSt","CUSA","9.57","9.85","7.75","11.91","0.64","0.64"
"Tyran Warren","NCSt","ACC","9.57","9.62","9.59","8.32","0.31","6.49"
"Chase Farrell","NW","Big10","9.57","9.25","11.73","9.52","5.06","10.78"
"Brody Jones","SoAla","SBC","9.57","9.57","9.57","9.57","9.57","9.57"
"Langdon Horace","Stan","ACC","9.57","9.57","9.57","9.57","9.57","9.57"
"Robert Oliver","WVU","Big12","9.57","9.57","9.57","9.57","9.57","9.57"
"Jonah Winston","FSU","ACC","9.57","9.57","9.57","9.57","9.57","9.57"
"Dino Kaliakmanis","Rut","Big10","9.56","9.72","9.73","8.61","7.69","7.69"
"Cameron Monteiro","Akr","MAC","9.56","9.62","4.48","9.24","11.08","1.92"
"Davis Bryson","KennSt","CUSA","9.56","9.69","10.62","9.98","1.93","9.24"
"Chance Ables","AZSt","Big12","9.56","9.56","9.56","9.56","9.56","9.56"
"Cameran Dickson","Vand","SEC","9.56","9.56","9.56","9.56","9.56","9.56"
"Tavian McNair","UNLV","MWC","9.55","9.55","9.55","9.55","9.55","9.55"
"Jackson Carpenter","Neb","Big10","9.55","9.55","9.55","9.55","9.55","9.55"
"James Scott","TCU","Big12","9.54","9.54","9.54","9.54","9.54","9.54"
"Brian Williams Jr.","Aub","SEC","9.54","9.54","9.54","9.54","9.54","9.54"
"Cal Faulkner","GATech","ACC","9.54","9.54","9.54","9.54","9.54","9.54"
"Julian McFadden","Cuse","ACC","9.53","9.53","9.53","9.53","9.53","9.53"
"Dylan Gentry","JackSt","CUSA","9.52","9.49","8.35","8.14","3.82","3.82"
"Marlon Harbin","Lou","ACC","9.52","9.52","9.52","9.52","9.52","9.52"
"Ben Grice","Rice","Amer","9.52","9.52","9.52","9.52","9.52","9.52"
"Prince Jean","UK","SEC","9.52","9.52","9.52","9.52","9.52","9.52"
"Daijon Calimon","Nev","MWC","9.52","9.86","10.75","7.48","5.10","5.10"
"C.J. Charleston","Mich","Big10","9.51","9.83","10.93","8.94","1.02","1.02"
"Jeremiah Bushnell","Hou","Big12","9.51","9.51","9.51","9.51","9.51","9.51"
"EJ Morgan","Cal","ACC","9.50","9.50","9.50","9.50","9.50","9.50"
"Cory Butler Jr.","AZSt","Big12","9.50","9.50","9.50","9.50","9.50","9.50"
"Kam Powell","OKSt","Big12","9.50","9.50","9.50","9.50","9.50","9.50"
"A.J. Brand","VT","ACC","9.50","9.50","9.50","9.50","9.50","9.50"
"Carson Grove","NW","Big10","9.49","9.45","7.07","8.53","2.94","2.94"
"Isaiah Thacker","Ball","MAC","9.49","9.31","5.65","6.83","3.76","7.26"
"Nick Sowell","BG","MAC","9.49","9.30","10.94","9.21","0.73","0.73"
"Gary Hadley Jr.","Tul","Amer","9.49","9.49","9.49","9.49","9.49","9.49"
"DJ Biggins","BC","ACC","9.49","9.49","9.49","9.49","9.49","9.49"
"Bryan Hamilton","Pitt","ACC","9.49","9.49","9.49","9.49","9.49","9.49"
"Owen Cabell","Vand","SEC","9.49","9.49","9.49","9.49","9.49","9.49"
"Davis McCray","UK","SEC","9.49","9.49","9.49","9.49","9.49","9.49"
"Tate Nagy","KU","Big12","9.49","9.45","9.30","8.06","7.14","7.14"
"Jaylen Hampton","Char","Amer","9.48","9.45","8.08","7.38","4.59","4.59"
"Xavier Stinson","Iowa","Big10","9.48","9.48","9.48","9.48","9.48","9.48"
"Antavious Murphy","GASo","SBC","9.47","9.45","10.79","7.38","4.04","4.04"
"Liam Thorpe","Stan","ACC","9.47","9.46","6.61","8.19","6.61","6.61"
"Julian Allen","Conn","Inde","9.47","9.42","10.70","9.27","4.69","4.69"
"Kai Meza","Cal","ACC","9.46","9.46","9.46","9.46","9.46","9.46"
"Corbin Glasco","KU","Big12","9.46","9.46","9.46","9.46","9.46","9.46"
"Jude Hall","Ark","SEC","9.45","9.45","9.45","9.45","9.45","9.45"
"Shawn Fishwick","EMich","MAC","9.45","9.45","9.45","9.45","9.45","9.45"
"Boski Barrett","ArkSt","SBC","9.45","9.45","9.45","9.45","9.45","9.45"
"Omar Mims Jr.","Tol","MAC","9.45","9.45","9.45","9.45","9.45","9.45"
"Xavier Green","Tuls","Amer","9.45","9.45","9.45","9.45","9.45","9.45"
"Tylik Mitchell","Temp","Amer","9.45","9.45","9.45","9.45","9.45","9.45"
"Coen Logan","Temp","Amer","9.45","9.45","9.45","9.45","9.45","9.45"
"Isaiah Robertson","SMU","ACC","9.45","9.45","9.45","9.45","9.45","9.45"
"Kaprice Keith","KSt","Big12","9.45","9.45","9.45","9.45","9.45","9.45"
"Malcolm Watkins","IASt","Big12","9.45","9.45","9.45","9.45","9.45","9.45"
"Davon Grant","Illini","Big10","9.45","9.45","9.45","9.45","9.45","9.45"
"Matthew Outten","Cuse","ACC","9.45","9.45","9.45","9.45","9.45","9.45"
"Rhys Dorsey","Lou","ACC","9.45","9.45","9.45","9.45","9.45","9.45"
"Peter Gonzalez","PSU","Big10","9.45","9.45","9.45","9.45","9.45","9.45"
"Mekhi Anderson","UTSA","Amer","9.45","10.08","8.50","7.13","5.10","7.81"
"Charlie Coenen","Wyo","MWC","9.44","9.33","10.57","5.31","1.60","1.60"
"Evan Haynes","GATech","ACC","9.43","9.43","9.43","9.43","9.43","9.43"
"Tre'von McGory","WKU","CUSA","9.43","9.43","9.43","9.43","9.43","9.43"
"Caleb Smith","Zona","Big12","9.43","9.43","9.43","9.43","9.43","9.43"
"Keavon Roberts","Hou","Big12","9.43","9.43","9.43","9.43","9.43","9.43"
"Bryce Dorsey","Mem","Amer","9.42","9.39","6.68","9.21","4.00","4.00"
"Caden Ramsey","SoCar","SEC","9.41","9.41","9.41","9.41","9.41","9.41"
"Brody Schaffer","Iowa","Big10","9.41","9.41","9.41","9.41","9.41","9.41"
"Dadrien Waller","Cincy","Big12","9.41","9.41","9.41","9.41","9.41","9.41"
"Kedrick Triplett","WVU","Big12","9.41","9.41","9.41","9.41","9.41","9.41"
"Braylon Collier","MichSt","Big10","9.41","9.41","9.41","9.41","9.41","9.41"
"DJ Williams","Lou","ACC","9.41","9.41","9.41","9.41","9.41","9.41"
"Kortez Rupert","Ind","Big10","9.40","9.40","9.40","9.40","9.40","9.40"
"Elijah Jones","Cincy","Big12","9.40","9.25","11.97","7.05","3.42","3.42"
"AJ Jones","Boise","Pac12","9.40","9.40","9.40","9.40","9.40","9.40"
"Zach Washington","MichSt","Big10","9.40","9.40","9.40","9.40","9.40","9.40"
"Jemyri Davis","Mem","Amer","9.40","9.63","10.39","8.24","6.65","6.65"
"Bull Mitchell","MissSt","SEC","9.39","9.34","8.99","9.17","8.99","8.99"
"Sah'nye Degraffenreidt","Rut","Big10","9.39","9.37","8.35","8.82","7.78","7.78"
"Bryson Hayes","KU","Big12","9.38","9.38","9.38","9.38","9.38","9.38"
"Kahden Smith","Vand","SEC","9.38","9.38","9.38","9.38","9.38","9.38"
"Famah Toure","Rut","Big10","9.37","9.36","9.34","9.12","8.95","8.95"
"Cam Sapp","Pitt","ACC","9.37","9.39","9.86","8.30","7.03","7.03"
"Jacob Butler","Stan","ACC","9.37","9.37","9.37","9.37","9.37","9.37"
"Jaylin Taylor","Mem","Amer","9.37","9.37","9.37","9.37","9.37","9.37"
"Jakobe Dejesus","Lib","CUSA","9.37","9.37","9.37","9.37","9.37","9.37"
"Robert Haynes IV","Haw","MWC","9.37","9.37","9.37","9.37","9.37","9.37"
"Perrion Williams","Nev","MWC","9.37","9.37","9.37","9.37","9.37","9.37"
"KeyShaun Coleman","Tul","Amer","9.37","9.37","9.37","9.37","9.37","9.37"
"Dylan Wester","Pitt","ACC","9.37","9.37","9.37","9.37","9.37","9.37"
"Shane Rosenthal","UCLA","Big10","9.37","9.37","9.37","9.37","9.37","9.37"
"Nyqir Helton","UNC","ACC","9.37","9.37","9.37","9.37","9.37","9.37"
"Lebron Hill","Vand","SEC","9.37","9.37","9.37","9.37","9.37","9.37"
"Nick Delgadillo","Haw","MWC","9.36","9.45","11.90","6.32","2.26","2.26"
"Russell Babineaux","ULLaf","SBC","9.36","9.36","9.36","9.36","9.36","9.36"
"Matrail Lopez","OKSt","Big12","9.36","9.37","8.71","9.05","8.71","8.71"
"Lynel Billups-Williams","MiaOH","MAC","9.35","9.07","9.60","8.82","1.69","10.37"
"Nasir Newkirk","Lib","CUSA","9.35","9.35","9.35","9.35","9.35","9.35"
"Bryce Randolph","Lib","CUSA","9.35","9.32","9.26","8.71","8.21","8.21"
"L.J. Booker","VT","ACC","9.34","9.34","9.34","9.34","9.34","9.34"
"Zhaiel Smith","UNM","MWC","9.34","9.10","8.44","10.92","0.82","10.89"
"Jamar Browder","Mich","Big10","9.34","9.33","7.83","8.51","7.02","7.02"
"Dawson Quarterman","ECU","Amer","9.33","9.33","9.33","9.33","9.33","9.33"
"Jesse Legree","OreSt","Pac12","9.33","9.33","9.33","9.33","9.33","9.33"
"Gavin Packer","Boise","Pac12","9.33","9.33","9.33","9.33","9.33","9.33"
"Zion Legree","Wisc","Big10","9.33","9.33","9.33","9.33","9.33","9.33"
"Antwaun Parham","Tul","Amer","9.32","9.32","9.32","9.32","9.32","9.32"
"Tyren Parker","KU","Big12","9.32","9.32","9.32","9.32","9.32","9.32"
"Diondre Smith","Iowa","Big10","9.32","9.32","9.32","9.32","9.32","9.32"
"Justen Hodge","MiaOH","MAC","9.31","9.31","9.31","9.31","9.31","9.31"
"Onterrio Smith, Jr.","SacSt","MAC","9.31","8.96","10.99","6.61","2.27","7.40"
"Eric Smith","Lib","CUSA","9.30","9.21","7.81","8.60","7.81","9.43"
"Ryne Shackelford","Bay","Big12","9.30","9.30","9.30","9.30","9.30","9.30"
"Bricen Brantley","Wyo","MWC","9.30","9.20","8.89","6.83","3.26","10.04"
"Zikhere Leaks","Conn","Inde","9.30","9.30","9.30","9.30","9.30","9.30"
"Kentrell Davis","GATech","ACC","9.30","9.30","9.30","9.30","9.30","9.30"
"Rico Blassingame","Minn","Big10","9.30","9.30","9.30","9.30","9.30","9.30"
"Tj Chukwurah","NoTex","Amer","9.29","9.27","10.12","7.14","3.98","3.98"
"Qumonte Williams Jr.","Boise","Pac12","9.29","9.22","6.22","7.68","4.61","4.61"
"Tyree Patterson","MTSU","CUSA","9.29","9.29","9.29","9.29","9.29","9.29"
"Romel Stevens","ArkSt","SBC","9.28","9.28","9.28","9.28","9.28","9.28"
"Elijah West","FAU","Amer","9.28","9.28","9.28","9.28","9.28","9.28"
"Jai Richburg","NCSt","ACC","9.28","9.28","9.28","9.28","9.28","9.28"
"Ben Whitver","PSU","Big10","9.28","9.28","9.28","9.28","9.28","9.28"
"Demick Starling","UtSt","Pac12","9.28","9.25","8.12","6.46","2.45","2.45"
"Braylon Agee","NIU","MWC","9.28","9.28","9.28","9.28","9.28","9.28"
"Avin Robinson","CMich","MAC","9.28","9.28","9.28","9.28","9.28","9.28"
"Kamryn Jones","Boise","Pac12","9.28","9.28","9.28","9.28","9.28","9.28"
"Qeanu Johnson","Duke","ACC","9.28","9.28","9.28","9.28","9.28","9.28"
"Baron Tipton","NoTex","Amer","9.27","9.33","9.76","6.74","2.76","2.76"
"A.J. Little","SMiss","SBC","9.27","9.18","11.13","10.73","0.42","8.64"
"Demetrice McCray","Pitt","ACC","9.26","9.26","9.26","9.26","9.26","9.26"
"Harry Hassmann","AZSt","Big12","9.26","9.26","9.26","9.26","9.26","9.26"
"Gavin Waddell","Lou","ACC","9.26","9.26","9.26","9.26","9.26","9.26"
"Hayden Moore","Minn","Big10","9.26","9.26","9.26","9.26","9.26","9.26"
"Dylan Braithwaite","Rut","Big10","9.26","9.25","9.23","9.16","9.10","9.10"
"Ace Theus","TCU","Big12","9.26","9.26","9.26","9.26","9.26","9.26"
"Alijah Cason","SHSt","CUSA","9.25","9.39","9.45","9.59","0.67","9.86"
"Lathan Latiolais","NoTex","Amer","9.25","9.25","9.25","9.25","9.25","9.25"
"Kelvin Brown Jr.","BC","ACC","9.25","9.25","9.25","9.25","9.25","9.25"
"Plas Johnson","AZSt","Big12","9.25","9.25","9.25","9.25","9.25","9.25"
"Braden Blueitt","NW","Big10","9.25","9.25","9.25","9.25","9.25","9.25"
"Nikko Boncore","UtSt","Pac12","9.25","9.34","10.39","7.60","5.09","5.09"
"Jaivon Solomon","Duke","ACC","9.24","9.24","9.24","9.24","9.24","9.24"
"Paul Davis","Akr","MAC","9.23","8.89","7.55","7.58","10.22","4.67"
"Darrick Bledsoe III","SHSt","CUSA","9.23","9.03","9.90","5.67","0.78","0.78"
"Derrick Avery Jr.","GaSt","SBC","9.22","9.32","5.68","11.87","1.66","1.66"
"Atticus Joseph","Stan","ACC","9.22","9.22","9.22","9.22","9.22","9.22"
"Jeremy Winston","GATech","ACC","9.22","9.22","9.22","9.22","9.22","9.22"
"Trishstin Glass","CoCar","SBC","9.22","9.22","9.22","9.22","9.22","9.22"
"Christian Zachary","SHSt","CUSA","9.22","9.22","9.22","9.22","9.22","9.22"
"William Pressley","MiaOH","MAC","9.22","9.22","9.22","9.22","9.22","9.22"
"Nate Sims","KU","Big12","9.22","9.22","9.22","9.22","9.22","9.22"
"JJ Winston","GATech","ACC","9.22","9.22","9.22","9.22","9.22","9.22"
"Myles Kendrick","Ind","Big10","9.22","9.22","9.22","9.22","9.22","9.22"
"Brayden Allen","LSU","SEC","9.20","9.20","9.20","9.20","9.20","9.20"
"Aj Logan","Boise","Pac12","9.19","9.19","9.19","9.19","9.19","9.19"
"Elijah Thomas","OU","SEC","9.18","8.85","9.45","7.51","5.92","5.92"
"Devin Goldston","Wake","ACC","9.18","9.18","9.18","9.18","9.18","9.18"
"Kamarie Smith","SacSt","MAC","9.18","9.18","9.18","9.18","9.18","9.18"
"Carson Griffin","Del","CUSA","9.18","9.18","9.18","9.18","9.18","9.18"
"MJ Johnson","SMiss","SBC","9.18","9.18","9.18","9.18","9.18","9.18"
"Zialis Blackmon","ODU","SBC","9.18","9.18","9.18","9.18","9.18","9.18"
"Imari Jehiel","TT","Big12","9.18","9.18","9.18","9.18","9.18","9.18"
"Joshua Smith","Cincy","Big12","9.18","9.18","9.18","9.18","9.18","9.18"
"Chase Collier","Bay","Big12","9.18","9.18","9.18","9.18","9.18","9.18"
"Keaton Reinke","NW","Big10","9.18","9.18","9.18","9.18","9.18","9.18"
"Massiah Mingo","UNM","MWC","9.17","9.17","9.17","9.17","9.17","9.17"
"Tatum Bell Jr.","UNLV","MWC","9.16","9.16","9.16","9.16","9.16","9.16"
"Doopah Coleman","App","SBC","9.14","9.10","6.08","8.54","4.22","4.22"
"Phoenix Henriquez","Cuse","ACC","9.14","9.14","9.14","9.14","9.14","9.14"
"Dmari Roberts","USF","Amer","9.14","9.14","9.14","9.14","9.14","9.14"
"Carson Clark","SJSt","MWC","9.14","9.14","9.14","9.14","9.14","9.14"
"Fonzy Smith","WKU","CUSA","9.14","9.14","9.14","9.14","9.14","9.14"
"Ty Olsen","UtSt","Pac12","9.13","9.07","8.92","7.79","6.87","6.87"
"Jackson Cook","KU","Big12","9.13","9.13","9.13","9.13","9.13","9.13"
"Ashton Jones","Bay","Big12","9.13","9.13","9.13","9.13","9.13","9.13"
"LJ Johnson Jr.","UtSt","Pac12","9.13","9.17","9.01","9.09","8.92","8.92"
"DJ Black","SoCar","SEC","9.10","9.24","6.59","11.28","0.43","0.43"
"Maurice Purify II","Neb","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Braiden Stevens","Minn","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Tristan Reed","MiaOH","MAC","9.10","9.10","9.10","9.10","9.10","9.10"
"JD Wallace","UTEP","MWC","9.10","9.10","9.10","9.10","9.10","9.10"
"Jj Harrell","ODU","SBC","9.10","9.10","9.10","9.10","9.10","9.10"
"Dwayne White","CoCar","SBC","9.10","9.10","9.10","9.10","9.10","9.10"
"Dominic White","SoAla","SBC","9.10","9.10","9.10","9.10","9.10","9.10"
"Deshaun Fedd","ArkSt","SBC","9.10","9.10","9.10","9.10","9.10","9.10"
"Jaylen Stokes","NMSt","CUSA","9.10","9.10","9.10","9.10","9.10","9.10"
"JaDarius Sanders","NMSt","CUSA","9.10","9.10","9.10","9.10","9.10","9.10"
"Kaden Page","Ohio","MAC","9.10","9.10","9.10","9.10","9.10","9.10"
"Davis Lane","Rice","Amer","9.10","9.10","9.10","9.10","9.10","9.10"
"Hunter Watson","Temp","Amer","9.10","9.10","9.10","9.10","9.10","9.10"
"Derek Stevenson","SDSU","Pac12","9.10","9.10","9.10","9.10","9.10","9.10"
"Kobe Adeleke-Hokes","Wake","ACC","9.10","9.10","9.10","9.10","9.10","9.10"
"Landon Kelsey","Zona","Big12","9.10","9.10","9.10","9.10","9.10","9.10"
"H'eij Jackson","Cincy","Big12","9.10","9.10","9.10","9.10","9.10","9.10"
"Julius Wilson","KSt","Big12","9.10","9.10","9.10","9.10","9.10","9.10"
"Asa Thompson","Wash","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Blaise LaVista","Wash","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Bodpegn Miller","Wash","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Hudson Lewis","Ore","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Rai'Shawn Elmore","MichSt","Big10","9.10","9.10","9.10","9.10","9.10","9.10"
"Chance Robinson","NCSt","ACC","9.10","9.10","9.10","9.10","9.10","9.10"
"Tyler Henderson","Bama","SEC","9.10","9.10","9.10","9.10","9.10","9.10"
"Winn Sharp","BG","MAC","9.09","9.21","8.48","6.42","2.29","2.29"
"Arkese Parks","USF","Amer","9.09","9.09","9.09","9.09","9.09","9.09"
"Logan Conklin","NDSt","MWC","9.08","8.90","9.99","5.65","2.42","2.42"
"Will Taylor","UGA","SEC","9.07","9.07","9.14","8.51","8.07","8.17"
"Aiden Smalls","NCSt","ACC","9.07","9.07","9.07","9.07","9.07","9.07"
"Trace Burney","JMU","SBC","9.06","9.06","9.06","9.06","9.06","9.06"
"Ty'Lan Fortune","ArkSt","SBC","9.06","9.06","9.06","9.06","9.06","9.06"
"Jonathan Stafford Jr.","WKU","CUSA","9.06","9.06","9.06","9.06","9.06","9.06"
"Nicsaint Joseph Jr.","FAU","Amer","9.06","9.06","9.06","9.06","9.06","9.06"
"Terrance Saryon","BYU","Big12","9.06","9.06","9.06","9.06","9.06","9.06"
"Jean Louis III","Akr","MAC","9.06","9.08","9.01","9.34","1.48","1.48"
"Kellen Tasby","Tul","Amer","9.05","9.06","8.73","8.90","8.73","8.73"
"Dalin Wilkins","EMich","MAC","9.05","9.05","9.05","9.05","9.05","9.05"
"Zechariah Jenkins","Mem","Amer","9.05","9.05","9.05","9.05","9.05","9.05"
"Jabarie Thornton","OKSt","Big12","9.05","9.05","9.05","9.05","9.05","9.05"
"Sean Williams","Mary","Big10","9.04","9.04","9.04","9.04","9.04","9.04"
"Case Thomas","Miss","SEC","9.04","9.04","9.04","9.04","9.04","9.04"
"Triston Ward","UVA","ACC","9.04","9.04","9.04","9.04","9.04","9.04"
"Jayden Kitchens","Mary","Big10","9.04","9.04","9.04","9.04","9.04","9.04"
"Dube Enongene","NW","Big10","9.03","9.03","9.03","9.03","9.03","9.03"
"Marcellus Jackson","ULM","SBC","9.03","9.13","9.18","8.98","8.75","8.75"
"Charles Taplin","MichSt","Big10","9.03","9.18","9.40","8.44","7.66","7.66"
"Jahmari Powell-Wonson","FAU","Amer","9.03","9.05","9.28","8.82","8.48","8.48"
"Phillip Folmar","Buff","MAC","9.03","9.03","8.36","8.70","8.36","8.36"
"Jet Tabb","KennSt","CUSA","9.02","9.02","9.02","9.02","9.02","9.02"
"Kristion Brooks","ULLaf","SBC","9.02","9.02","9.02","9.02","9.02","9.02"
"Matt Mayfield","MissSt","SEC","9.02","9.02","9.02","9.02","9.02","9.02"
"Dane Benedix","LATech","SBC","9.02","9.17","11.07","6.58","3.17","3.17"
"Justin Ruffin, Jr.","CMich","MAC","9.01","9.14","10.69","6.47","2.29","9.07"
"Elijah Moss","JMU","SBC","9.01","9.01","9.01","9.01","9.01","9.01"
"Erick Smith","Aub","SEC","9.01","9.01","9.01","9.01","9.01","9.01"
"Titus Myers","Akr","MAC","9.00","9.11","6.25","7.94","6.25","6.25"
"Ellijah Washington","SacSt","MAC","9.00","9.00","9.00","9.00","9.00","9.00"
"CJ Spence","UVA","ACC","8.99","8.99","8.99","8.99","8.99","8.99"
"Blake Hamilton","UTEP","MWC","8.98","8.98","8.98","8.98","8.98","8.98"
"Cassidee Miles","UNLV","MWC","8.98","8.98","8.98","8.98","8.98","8.98"
"Jojo Johnson","Purd","Big10","8.98","8.98","8.98","8.98","8.98","8.98"
"Donovan Giles","FIU","CUSA","8.98","9.27","12.09","10.17","1.89","9.61"
"Cj Simon","UTEP","MWC","8.97","8.97","8.97","8.97","8.97","8.97"
"Nigel Johnson","WKU","CUSA","8.97","8.95","5.54","6.96","0.82","0.82"
"Isaiah Dillon","Fres","Pac12","8.96","8.96","8.96","8.96","8.96","8.96"
"Austin Clay","BG","MAC","8.96","8.96","8.96","8.96","8.96","8.96"
"David Pierro","LATech","SBC","8.96","9.23","12.21","7.31","10.73","2.05"
"Landon Strother","ULLaf","SBC","8.96","9.07","12.60","6.67","1.04","8.60"
"Kristian Tate","Troy","SBC","8.96","9.13","10.65","9.94","0.53","0.53"
"Alvin Jones III","Buff","MAC","8.95","8.95","8.95","8.95","8.95","8.95"
"Kaleb Mitchell","SHSt","CUSA","8.95","8.95","8.95","8.95","8.95","8.95"
"Bryce Dopson","BC","ACC","8.95","8.95","8.95","8.95","8.95","8.95"
"Jack Ressler","Ore","Big10","8.95","8.95","8.95","8.95","8.95","8.95"
"La'Don Bryant","NIU","MWC","8.95","8.89","10.22","6.19","1.16","1.16"
"Johnny Williams","ECU","Amer","8.95","8.95","8.95","8.95","8.95","8.95"
"Romeo Carter","Boise","Pac12","8.95","8.95","8.95","8.95","8.95","8.95"
"Brandon Kinsey","Purd","Big10","8.95","8.95","8.95","8.95","8.95","8.95"
"Tim Burns Jr.","SHSt","CUSA","8.94","9.24","5.29","5.89","0.49","6.65"
"Antoine Martin Jr.","ColSt","Pac12","8.94","8.94","8.94","8.94","8.94","8.94"
"Luke Stuewe","VT","ACC","8.94","8.94","8.94","8.94","8.94","8.94"
"Zay Robinson","PSU","Big10","8.93","8.93","9.01","8.59","8.25","8.25"
"Kadarus Hainsworth","Char","Amer","8.93","8.93","8.93","8.93","8.93","8.93"
"Mark Hanniford","Ball","MAC","8.93","8.93","8.93","8.93","8.93","8.93"
"Kai Owens","Mass","MAC","8.93","8.93","8.93","8.93","8.93","8.93"
"Brennan Chambers","Marsh","SBC","8.93","8.93","8.93","8.93","8.93","8.93"
"Zymir Reed","Kent","MAC","8.93","8.93","8.93","8.93","8.93","8.93"
"Maurice Stephens","Kent","MAC","8.93","8.93","8.93","8.93","8.93","8.93"
"Zion Hudson","JMU","SBC","8.93","8.93","8.93","8.93","8.93","8.93"
"Ash Roberts","Temp","Amer","8.93","8.93","8.93","8.93","8.93","8.93"
"Joshua Joseph","Mem","Amer","8.93","8.93","8.93","8.93","8.93","8.93"
"Makih Johnson","ColSt","Pac12","8.91","8.91","8.91","8.91","8.91","8.91"
"Rameir Hardy","Temp","Amer","8.91","8.89","9.11","7.35","5.76","5.76"
"Braxton Winston III","Wake","ACC","8.90","8.90","8.90","8.90","8.90","8.90"
"Karson Boschma","OreSt","Pac12","8.89","9.06","7.65","8.59","1.99","1.99"
"Jordyn Bridgewater","UCF","Big12","8.89","8.76","7.53","8.10","6.83","6.83"
"Austin McGee","GaSt","SBC","8.88","8.85","8.86","8.04","7.30","7.30"
"Evan Stroman","ULLaf","SBC","8.88","8.88","8.88","8.88","8.88","8.88"
"D'Ontae Fulton","GaSt","SBC","8.88","8.88","8.88","8.88","8.88","8.88"
"David Moore Jr.","Mass","MAC","8.87","8.87","8.87","8.87","8.87","8.87"
"Brendyn Smith","Kent","MAC","8.87","8.87","8.87","8.87","8.87","8.87"
"David Aboya","SMiss","SBC","8.87","8.87","8.87","8.87","8.87","8.87"
"Dallas Boozer","ArkSt","SBC","8.87","8.87","8.87","8.87","8.87","8.87"
"Barrett Schulz","FIU","CUSA","8.87","8.87","8.87","8.87","8.87","8.87"
"Jack Rhodes","UVA","ACC","8.87","8.87","8.87","8.87","8.87","8.87"
"Uriah Neloms","AZSt","Big12","8.87","8.87","8.87","8.87","8.87","8.87"
"Blair Irvin III","Ark","SEC","8.87","8.87","8.87","8.87","8.87","8.87"
"Kenny Williams","FIU","CUSA","8.86","8.87","9.32","7.90","6.63","6.63"
"Andrew Leslie","Troy","SBC","8.86","8.86","8.86","8.86","8.86","8.86"
"Kavon Simmons","Duke","ACC","8.85","8.85","8.85","8.85","8.85","8.85"
"Markus Kier","UCLA","Big10","8.83","8.83","8.83","8.83","8.83","8.83"
"Joe Stimpson","Nev","MWC","8.83","8.83","8.83","8.83","8.83","8.83"
"Seth Elchert","Tol","MAC","8.83","8.83","8.83","8.83","8.83","8.83"
"Darius Pope","Temp","Amer","8.83","8.83","8.83","8.83","8.83","8.83"
"Bryce Kania","Wake","ACC","8.81","8.81","8.81","8.81","8.81","8.81"
"Caleb Rollerson","UCF","Big12","8.80","8.65","4.92","5.82","2.58","8.80"
"Mason Ferguson","UTEP","MWC","8.80","9.00","4.58","7.27","4.58","4.58"
"Peyton Zachary","UNLV","MWC","8.80","8.80","8.80","8.80","8.80","8.80"
"Kyle Koch","NoTex","Amer","8.79","8.70","8.15","6.72","4.56","4.56"
"Carl Jean-Bart","EMich","MAC","8.79","8.79","8.79","8.79","8.79","8.79"
"Cam Blivens","Clem","ACC","8.79","8.79","8.79","8.79","8.79","8.79"
"Arrion Concepcion","JMU","SBC","8.78","8.78","8.78","8.78","8.78","8.78"
"Jordan Martin","TexSt","Pac12","8.77","8.77","8.77","8.77","8.77","8.77"
"Kaleb Mathis","Col","Big12","8.77","8.87","10.55","6.21","1.68","1.68"
"Brandon Hills","Akr","MAC","8.76","8.76","8.76","8.76","8.76","8.76"
"Kaina Watson","UTSt","Pac12","8.75","8.75","8.75","8.75","8.75","8.75"
"CJ Lewis","Tuls","Amer","8.75","8.75","8.75","8.75","8.75","8.75"
"Ty Crethers","SMU","ACC","8.75","8.75","8.75","8.75","8.75","8.75"
"Jayden Padgett","OreSt","Pac12","8.75","8.75","8.75","8.75","8.75","8.75"
"CD Nuno","Boise","Pac12","8.75","8.75","8.75","8.75","8.75","8.75"
"Dorian Patterson","UNM","MWC","8.75","8.75","8.75","8.75","8.75","8.75"
"Dj Darling","UNM","MWC","8.75","8.75","8.75","8.75","8.75","8.75"
