"Name","School","Conference","Overall","Running","Receiving","Pass Pro","Elusive/Explosive"
"Seth Cromwell","JMU","SBC","11.60","11.98","8.85","10.35","10.83"
"Braxton Jennings","Lou","ACC","11.59","11.59","9.93","11.91","9.63"
"Re'Shaun Sanford II","Hou","Big12","11.58","12.26","10.87","7.49","13.11"
"Iverson Howard","Mary","Big10","11.57","12.05","9.37","8.51","9.79"
"Ayo Adeyi","OKSt","Big12","11.57","11.84","8.61","9.89","9.42"
"DJ McKinney","Tuls","Amer","11.57","12.15","10.21","6.50","7.56"
"Jay Haynes","Clem","ACC","11.56","12.05","10.78","10.12","9.72"
"Grant Washington","Minn","Big10","11.55","11.31","9.73","11.12","8.91"
"Derrek Cooper","Tex","SEC","11.55","11.55","11.55","11.55","11.55"
"Jamal Rule","Neb","Big10","11.55","11.55","11.55","11.55","11.55"
"Favour Akih","OSU","Big10","11.55","11.55","11.55","11.55","11.55"
"Tiger Riden Jr.","A&M","SEC","11.54","11.40","10.63","11.58","11.31"
"Khalifa Keith","Bama","SEC","11.54","11.45","10.49","10.70","10.91"
"Sincere Baines","WKU","CUSA","11.54","12.00","8.65","9.66","8.72"
"JaQuail Smith","Col","Big12","11.53","10.97","11.18","10.39","13.15"
"Simeon Price","Ore","Big10","11.53","11.80","10.61","9.95","8.72"
"Jason Collins Jr.","USF","Amer","11.52","12.07","8.53","8.98","11.96"
"Kwinten Ives","Neb","Big10","11.52","11.25","12.18","11.85","9.87"
"Duncan Brune","Ohio","MAC","11.50","11.82","8.88","10.38","9.04"
"Xai'Shaun Edwards","Mizz","SEC","11.49","11.93","9.30","7.15","11.73"
"Carsyn Baker","A&M","SEC","11.45","11.45","11.45","11.45","11.45"
"Salahadin Allah","IASt","Big12","11.45","11.62","10.29","11.35","10.71"
"Ethan Shine","Pitt","ACC","11.44","11.06","11.61","12.45","8.25"
"Malae Fonoti","Mizz","SEC","11.42","11.22","11.36","10.76","10.60"
"Sean Patrick","Akr","MAC","11.41","11.48","12.27","6.62","7.75"
