snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-06-19,2026,Illinois,,BetMGM,7.5,125.0,-160.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Illinois,Big Ten,Caesars,7.5,120.0,-160.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=4a21a92f96aab424233696436a197f5a; over_updated=2026-06-19 11:49:47; under_updated=2026-06-19 11:49:47
2026-06-19,2026,Illinois,,DraftKings,4.5,-105.0,-115.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Illinois,,FanDuel,7.5,146.0,-180.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159441991; over_selection=96283632; under_selection=96283631
2026-06-19,2026,Indiana,,BetMGM,10.5,-105.0,-120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Indiana,Big Ten,Caesars,10.5,125.0,-155.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=ed94139367ebbc8a348baf47744285d7; over_updated=2026-06-19 11:49:47; under_updated=2026-06-19 11:49:47
2026-06-19,2026,Indiana,,DraftKings,7.5,-110.0,-110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Indiana,,DraftKings,10.5,105.0,-125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Indiana,,FanDuel,10.5,-115.0,-105.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439733; over_selection=96283387; under_selection=96283386
2026-06-19,2026,Iowa,,BetMGM,7.5,-145.0,110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Iowa,Big Ten,Caesars,7.5,-140.0,110.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=ef51b8eda91c4153865afd2f80562db0; over_updated=2026-06-19 11:49:47; under_updated=2026-06-19 11:49:47
2026-06-19,2026,Iowa,,DraftKings,4.5,-140.0,120.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Iowa,,FanDuel,7.5,-142.0,116.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439754; over_selection=96283389; under_selection=96283388
2026-06-19,2026,Iowa State,,BetMGM,5.5,115.0,-150.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Iowa State,Big 12,Caesars,5.5,110.0,-140.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=005e877d9abf56105f77ec4b1f4eb0dd; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
2026-06-19,2026,Iowa State,,DraftKings,3.5,105.0,-125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Iowa State,,FanDuel,5.5,118.0,-144.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439767; over_selection=96283390; under_selection=96283391
2026-06-19,2026,Kansas,,BetMGM,5.5,-160.0,125.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,preferred_state=OH; action_book_id=1665; action_book_display=BetMGM OH
2026-06-19,2026,Kansas,Big 12,Caesars,5.5,-150.0,115.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=811fe6c7a113f02b35223e0d130700ee; over_updated=2026-06-19 11:49:48; under_updated=2026-06-19 11:49:48
2026-06-19,2026,Kansas,,DraftKings,3.5,-110.0,-110.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK NJ DK; best_under=DK NJ DK
2026-06-19,2026,Kansas,,DraftKings,6.5,130.0,-156.0,https://api.actionnetwork.com/web/v1/leagues/2/futures/ncaaf_futures_special_fixture_10997_2027_ncaaf_regular_season_total_wins,brand_mode=state; best_over=DK CO DK; best_under=DK CO DK
2026-06-19,2026,Kansas,,FanDuel,5.5,-162.0,132.0,https://api.sportsbook.fanduel.com/sbapi/content-managed-page?page=CUSTOM&customPageId=ncaaf&pbHorizontal=false&_ak=FhMFpcPWXMeyZxOx&timezone=America%2FNew_York,FanDuel OH; market_id=739.159439867; over_selection=96283403; under_selection=96283404
2026-06-19,2026,Kansas State,Big 12,Caesars,7.5,-175.0,135.0,https://api.bettingpros.com/v3/offers,BettingPros API book_id=13 Caesars; offer_id=ceb9e93d4c6fd38a488c14cc9f5b279b; over_updated=2026-06-19 11:49:49; under_updated=2026-06-19 11:49:49
