season,week,date,game_id,case,team,opponent,team_side,role,spread,ats_margin,ats_result,team_overall,team_overall_rank,team_offense,team_offense_rank,team_defense,team_defense_rank,opponent_overall,opponent_overall_rank,opponent_offense,opponent_offense_rank,opponent_defense,opponent_defense_rank
2025,2,2025-09-06T19:30:00.000Z,401762458,High Offense RP vs Low Defense RP,Navy,UAB,home,Favorite,-21.5,-7.5,L,63.0,34.0,73.0,12.0,52.0,78.0,39.0,120.0,38.0,112.0,40.0,114.0
2025,2,2025-09-06T23:00:00.000Z,401757232,High Offense RP vs Low Defense RP,Toledo,Western Kentucky,home,Favorite,-8.0,16.0,W,60.0,48.0,75.0,11.0,46.0,100.0,34.0,125.0,36.0,117.0,33.0,122.0
2025,2,2025-09-06T23:30:00.000Z,401752810,High Offense RP vs Low Defense RP,Nebraska,Akron,home,Favorite,-33.75,34.25,W,60.0,50.0,68.0,30.0,53.0,74.0,49.0,91.0,60.0,58.0,38.0,116.0
2025,3,2025-09-13T16:00:00.000Z,401752703,High Offense RP vs Low Defense RP,Oklahoma,Temple,away,Favorite,-23.833333333333332,15.166666666666668,W,69.0,10.0,78.0,6.0,60.0,46.0,51.0,87.0,59.0,62.0,43.0,109.0
2025,3,2025-09-13T23:30:00.000Z,401757257,High Offense RP vs Low Defense RP,New Mexico State,Louisiana Tech,away,Underdog,10.166666666666666,-24.833333333333336,L,65.0,21.0,69.0,22.0,61.0,42.0,48.0,93.0,50.0,84.0,45.0,102.0
2025,4,2025-09-20T23:00:00.000Z,401760372,High Offense RP vs Low Defense RP,Boise State,Air Force,away,Favorite,-11.0,1.0,W,69.0,9.0,75.0,9.0,64.0,31.0,56.0,72.0,68.0,27.0,43.0,107.0
2025,4,2025-09-20T23:30:00.000Z,401757263,High Offense RP vs Low Defense RP,Southern Miss,Louisiana Tech,away,Underdog,3.1666666666666665,-6.833333333333334,L,55.0,73.0,73.0,13.0,37.0,117.0,48.0,93.0,50.0,84.0,45.0,102.0
2025,4,2025-09-20T23:30:00.000Z,401756898,High Offense RP vs Low Defense RP,BYU,East Carolina,away,Favorite,-6.166666666666667,14.833333333333332,W,61.0,45.0,69.0,23.0,53.0,75.0,44.0,107.0,57.0,72.0,31.0,126.0
2023,1,2023-09-02T16:00:00.000Z,401520162,High Defense RP vs Low Offense RP,Michigan,East Carolina,home,Favorite,-35.4,-8.399999999999999,L,81.0,5.0,84.0,4.0,78.0,16.0,34.0,130.0,30.0,132.0,39.0,125.0
2023,1,2023-09-02T22:30:00.000Z,401523996,High Defense RP vs Low Offense RP,USC,Nevada,home,Favorite,-37.875,14.125,W,76.0,14.0,75.0,32.0,78.0,15.0,53.0,108.0,53.0,105.0,54.0,89.0
2023,1,2023-09-02T23:30:00.000Z,401520149,High Defense RP vs Low Offense RP,Middle Tennessee,Alabama,away,Underdog,39.375,-9.625,L,69.0,37.0,52.0,107.0,86.0,3.0,40.0,125.0,43.0,120.0,38.0,127.0
2023,1,2023-09-03T16:00:00.000Z,401520171,High Defense RP vs Low Offense RP,Rutgers,Northwestern,home,Favorite,-6.1,10.9,W,73.0,23.0,73.0,37.0,72.0,31.0,56.0,96.0,46.0,115.0,66.0,52.0
2023,2,2023-09-09T16:00:00.000Z,401525498,High Defense RP vs Low Offense RP,James Madison,Virginia,away,Favorite,-6.0,-5.0,L,70.0,34.0,60.0,90.0,81.0,7.0,52.0,116.0,40.0,123.0,64.0,63.0
2023,2,2023-09-09T21:00:00.000Z,401524004,High Defense RP vs Low Offense RP,Washington,Tulsa,home,Favorite,-33.666666666666664,-0.6666666666666643,L,73.0,22.0,74.0,34.0,73.0,30.0,40.0,126.0,41.0,122.0,38.0,126.0
2023,2,2023-09-09T23:00:00.000Z,401520206,High Defense RP vs Low Offense RP,Missouri,Middle Tennessee,home,Favorite,-21.0,-17.0,L,78.0,9.0,77.0,25.0,80.0,9.0,69.0,37.0,52.0,107.0,86.0,3.0
2023,2,2023-09-10T00:00:00.000Z,401520211,High Defense RP vs Low Offense RP,Sam Houston,Air Force,home,Underdog,13.166666666666666,3.166666666666666,W,71.0,29.0,68.0,57.0,75.0,27.0,59.0,86.0,47.0,113.0,70.0,41.0
2023,2,2023-09-10T02:30:00.000Z,401524003,High Defense RP vs Low Offense RP,USC,Stanford,home,Favorite,-28.666666666666668,17.333333333333332,W,76.0,14.0,75.0,32.0,78.0,15.0,35.0,129.0,34.0,129.0,36.0,128.0
2023,3,2023-09-16T18:30:00.000Z,401525437,High Defense RP vs Low Offense RP,Notre Dame,Central Michigan,home,Favorite,-34.75,-10.75,L,68.0,44.0,65.0,67.0,72.0,35.0,66.0,52.0,51.0,110.0,80.0,8.0
