season,week,date,game_id,component,edge_team,edge_opponent,conference_matchup_type,component_edge,component_edge_band,edge_team_role,edge_team_spread,edge_team_ats_result,edge_team_ats_margin,edge_team_clv,source_flipped
2023,4,2023-09-23T23:30:00.000Z,401520259,defense_vs_opponent_offense,Missouri,Memphis,P4_vs_G6,13.0,5_to_14_9,Favorite,-6.5,W,0.5,,False
2023,4,2023-09-23T23:30:00.000Z,401520259,offense_vs_opponent_defense,Missouri,Memphis,P4_vs_G6,18.0,15_to_24_9,Favorite,-6.5,W,0.5,,False
2023,4,2023-09-23T16:00:00.000Z,401520260,defense_vs_opponent_offense,Michigan,Rutgers,P4_vs_P4,5.0,5_to_14_9,Favorite,-23.833333333333332,W,0.1666666666666678,,False
2023,4,2023-09-23T16:00:00.000Z,401520260,offense_vs_opponent_defense,Michigan,Rutgers,P4_vs_P4,12.0,5_to_14_9,Favorite,-23.833333333333332,W,0.1666666666666678,,False
2023,4,2023-09-23T23:30:00.000Z,401520264,defense_vs_opponent_offense,Minnesota,Northwestern,P4_vs_P4,11.0,5_to_14_9,Favorite,-11.166666666666666,L,-14.166666666666666,,False
2023,4,2023-09-23T23:30:00.000Z,401520264,offense_vs_opponent_defense,Northwestern,Minnesota,P4_vs_P4,7.0,5_to_14_9,Underdog,11.166666666666666,W,14.166666666666666,,True
2023,4,2023-09-23T23:30:00.000Z,401520265,defense_vs_opponent_offense,Penn State,Iowa,P4_vs_P4,11.0,5_to_14_9,Favorite,-14.166666666666666,W,16.833333333333336,,False
2023,4,2023-09-23T23:30:00.000Z,401520265,offense_vs_opponent_defense,Penn State,Iowa,P4_vs_P4,6.0,5_to_14_9,Favorite,-14.166666666666666,W,16.833333333333336,,False
2023,4,2023-09-22T23:00:00.000Z,401520266,offense_vs_opponent_defense,Wisconsin,Purdue,P4_vs_P4,16.0,15_to_24_9,Favorite,-6.0,W,15.0,,False
2023,4,2023-09-23T20:00:00.000Z,401520269,defense_vs_opponent_offense,Tennessee,UTSA,P4_vs_G6,13.0,5_to_14_9,Favorite,-23.333333333333332,W,7.666666666666668,,False
2023,4,2023-09-23T20:00:00.000Z,401520269,offense_vs_opponent_defense,Tennessee,UTSA,P4_vs_G6,9.0,5_to_14_9,Favorite,-23.333333333333332,W,7.666666666666668,,False
2023,4,2023-09-23T16:00:00.000Z,401520270,defense_vs_opponent_offense,Texas A&M,Auburn,P4_vs_P4,5.0,5_to_14_9,Favorite,-9.0,W,8.0,,False
2023,4,2023-09-23T16:00:00.000Z,401520270,offense_vs_opponent_defense,Texas A&M,Auburn,P4_vs_P4,11.0,5_to_14_9,Favorite,-9.0,W,8.0,,False
2023,4,2023-09-23T16:00:00.000Z,401520271,defense_vs_opponent_offense,Troy,Western Kentucky,G6_vs_G6,23.0,15_to_24_9,Favorite,-3.5,L,-0.5,,True
