rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
P4_vs_G6__BOTH_COMPONENTS__15_PLUS,P4_vs_G6: both RP components 15+,both_components,17,6,11,0,-2.176470588235294,-3.5,-12.529411764705882,2,0.35294117647058826,-14.705882352941174,-2.2,-2.142857142857143,10.0,7.0,0.4,0.2857142857142857,0,0,7.0,0.11428571428571432,0.057142857142857384,-40.51,No actionable signal
P4_vs_G6__BOTH_COMPONENTS__25_PLUS,P4_vs_G6: both RP components 25+,both_components,7,4,3,0,-0.07142857142857142,0.5,-12.928571428571429,2,0.5714285714285714,7.142857142857139,0.5,-0.5,3.0,4.0,0.6666666666666666,0.5,1,1,3.0,0.16666666666666663,1.0,24.25,No actionable signal
P4_vs_G6__BOTH_COMPONENTS__5_PLUS,P4_vs_G6: both RP components 5+,both_components,29,13,16,0,-2.0517241379310347,-0.5,-13.224137931034482,2,0.4482758620689655,-5.172413793103445,-2.1,-2.0,15.0,14.0,0.4666666666666667,0.42857142857142855,0,0,14.0,0.038095238095238126,0.10000000000000009,-9.1,No actionable signal
P4_vs_G6__DEFENSE_VS_OFFENSE__10_TO_14_9,P4_vs_G6: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,8,1,7,0,-9.125,-5.5,-12.75,2,0.125,-37.5,-7.166666666666667,-10.3,3.0,5.0,0.3333333333333333,0.0,0,0,3.0,0.3333333333333333,3.1333333333333337,-61.0,No actionable signal
P4_vs_G6__DEFENSE_VS_OFFENSE__15_TO_24_9,P4_vs_G6: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,10,1,9,0,-5.75,-3.5,-12.35,2,0.1,-40.0,-4.785714285714286,-8.0,7.0,3.0,0.14285714285714285,0.0,0,0,3.0,0.14285714285714285,3.2142857142857144,-54.76,No actionable signal
P4_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,18,11,7,0,1.2222222222222223,4.0,-12.333333333333334,2,0.6111111111111112,11.111111111111114,2.0555555555555554,0.3888888888888889,9.0,9.0,0.7777777777777778,0.4444444444444444,1,2,9.0,0.33333333333333337,1.6666666666666665,46.04,Exploratory
P4_vs_G6__DEF_POS_OFF_NEG,"P4_vs_G6: defense edge positive, offense edge negative",mixed_components,10,2,8,0,-5.95,-3.5,-8.85,2,0.2,-30.0,-1.5,-10.4,5.0,5.0,0.4,0.0,0,0,5.0,0.4,8.9,-60.0,No actionable signal
P4_vs_G6__EITHER_COMPONENT__15_PLUS,P4_vs_G6: either RP component 15+,either_component,46,21,25,0,-1.684782608695652,-0.5,-11.83695652173913,2,0.45652173913043476,-4.347826086956523,-2.6,-0.9807692307692307,20.0,26.0,0.4,0.5,0,0,20.0,0.09999999999999998,1.6192307692307693,1.1,No actionable signal
P4_vs_G6__EITHER_COMPONENT__25_PLUS,P4_vs_G6: either RP component 25+,either_component,34,17,17,0,0.25,0.0,-12.602941176470589,2,0.5,0.0,-1.8529411764705883,2.3529411764705883,17.0,17.0,0.47058823529411764,0.5294117647058824,1,1,17.0,0.05882352941176472,4.205882352941177,26.29,No actionable signal
P4_vs_G6__OFFENSE_VS_DEFENSE__10_TO_14_9,P4_vs_G6: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,5,4,1,0,4.6,6.0,-10.2,2,0.8,30.0,8.5,2.0,2.0,3.0,1.0,0.6666666666666666,2,2,2.0,0.33333333333333337,6.5,67.5,Small-sample lead
P4_vs_G6__OFFENSE_VS_DEFENSE__15_TO_24_9,P4_vs_G6: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,12,5,7,0,-5.416666666666667,-1.5,-9.583333333333334,2,0.4166666666666667,-8.333333333333329,-3.5,-6.055555555555555,3.0,9.0,0.3333333333333333,0.4444444444444444,0,0,3.0,0.1111111111111111,2.5555555555555554,-37.15,No actionable signal
P4_vs_G6__OFFENSE_VS_DEFENSE__25_PLUS,P4_vs_G6: Off RP vs opp Def RP edge 25+,offense_vs_defense,23,10,13,0,-0.6086956521739131,-0.5,-12.91304347826087,2,0.43478260869565216,-6.521739130434781,-4.409090909090909,2.875,11.0,12.0,0.2727272727272727,0.5833333333333334,1,1,11.0,0.31060606060606066,7.284090909090909,-6.76,No actionable signal
P4_vs_G6__OFF_POS_DEF_NEG,"P4_vs_G6: offense edge positive, defense edge negative",mixed_components,10,5,5,0,-1.1,0.5,-10.0,2,0.5,0.0,-9.833333333333334,2.642857142857143,3.0,7.0,0.0,0.7142857142857143,1,1,3.0,0.7142857142857143,12.476190476190476,-0.5,No actionable signal
P4_vs_G6__OVERALL__10_TO_14_9,P4_vs_G6: overall RP edge 10-14.9,overall_edge,9,6,3,0,2.0555555555555554,5.5,-10.166666666666666,2,0.6666666666666666,16.666666666666657,0.8333333333333334,2.6666666666666665,3.0,6.0,0.6666666666666666,0.6666666666666666,2,2,3.0,0.0,1.833333333333333,69.78,Small-sample lead
