game_id,week,away_team,home_team,model_id,availability_status,present_components,required_components,provider_range,provider_stddev
g324,4,Troy,Utah State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.640000000000004,2.367340279723218
g325,4,Delaware,Virginia,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.270000000000003,3.419564116959939
g326,4,Minnesota,Washington,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,4.350000000000003,1.6463501298326564
g327,4,Arizona,Washington State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,9.36,3.328107570376895
g328,4,Oklahoma State,West Virginia,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,13.040000000000003,4.838974581458349
g330,4,Boise State,Western Michigan,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,10.179999999999993,4.213202463684837
g331,4,Hawaii,Wyoming,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.0,1.8599781584739112
g332,5,Western Kentucky,New Mexico State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.4900000000000038,1.3006801105575512
g333,5,North Texas,Tulsa,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,25.130000000000006,9.427468841104703
g334,5,Liberty,Delaware,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.700000000000001,2.7707174161216805
g335,5,Penn State,Northwestern,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,3.789999999999999,1.459372724837627
g336,5,Pittsburgh,Virginia Tech,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,11.65,4.39095305713919
g337,5,Navy,Air Force,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.070000000000007,2.3067658637148267
g338,5,Cincinnati,Arizona,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,5.599999999999998,2.18946768644801
g339,5,Baylor,Arizona State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,6.23,2.4667121335899735
g340,5,Toledo,Ball State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,12.250000000000002,5.1237650951229226
g341,5,Utah State,Boise State,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.230000000000006,2.56113622246065
g342,5,Western Michigan,Buffalo,standard_spread_five_source_v1,MISSING_COMPONENT,4,5,7.630000000000001,2.7892057561248507
