flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g491,401866445,7,2026-10-17,Ohio,Sacramento State,False,-9.1155,-17.4333,2.5,2.5,-5.8178,-5.817799999999998,-1.7763568394002505e-15,Ohio -5.8,Ohio -5.8,,46.25,
OK,,g499,401856724,7,2026-10-17,Florida,Texas,False,14.092,24.792,3.0,3.0,13.7,13.700000000000001,-1.7763568394002505e-15,Texas -13.7,Texas -13.7,,49.0,
OK,,g501,401860923,7,2026-10-17,Colorado State,Texas State,False,-12.1455,-3.3455,2.3,2.3,11.1,11.100000000000001,-1.7763568394002505e-15,Texas State -11.1,Texas State -11.1,,57.7,
OK,,g504,,7,2026-10-17,Louisiana Tech,UL-Monroe,False,-9.2555,-20.268,1.5,1.5,-9.5125,-9.512500000000001,1.7763568394002505e-15,Louisiana Tech -9.5,Louisiana Tech -9.5,,52.55,
OK,,g505,401864523,7,2026-10-17,San Jose State,UTEP,False,-14.4105,-19.1955,2.5,2.5,-2.285,-2.2849999999999984,-1.7763568394002505e-15,San Jose State -2.3,San Jose State -2.3,,50.8,
OK,,g516,,8,2026-10-22,James Madison,Appalachian State,False,1.017,-11.6805,1.8,1.8,-10.8975,-10.897499999999999,-1.7763568394002505e-15,James Madison -10.9,James Madison -10.9,,53.25,
OK,,g525,401866448,8,2026-10-24,Bowling Green,Buffalo,False,-15.4455,-13.403,2.8,2.8,4.8425,4.8424999999999985,1.7763568394002505e-15,Buffalo -4.8,Buffalo -4.8,,43.45,
OK,,g542,401856730,8,2026-10-24,Oklahoma,Mississippi State,False,18.687,5.4545,2.6,2.6,-10.6325,-10.632500000000002,1.7763568394002505e-15,Oklahoma -10.6,Oklahoma -10.6,,51.55,
OK,,g555,401856841,8,2026-10-24,West Virginia,TCU,False,0.842,8.9095,2.2,2.2,10.2675,10.267499999999998,1.7763568394002505e-15,TCU -10.3,TCU -10.3,,52.55,
OK,,g565,401858500,8,2026-10-24,USC,Wisconsin,False,17.9595,4.417,2.0,2.0,-11.5425,-11.542499999999999,-1.7763568394002505e-15,USC -11.5,USC -11.5,,48.65,
OK,,g567,,9,2026-10-27,Sam Houston,Missouri State,False,-23.6255,-15.263,2.5,2.5,10.8625,10.862499999999999,1.7763568394002505e-15,Missouri State -10.9,Missouri State -10.9,,52.85,
OK,,g571,,9,2026-10-29,Troy,James Madison,False,-7.8705,1.017,2.7,2.7,11.5875,11.587499999999999,1.7763568394002505e-15,James Madison -11.6,James Madison -11.6,,52.55,
OK,,g577,401856733,9,2026-10-31,Missouri,Arkansas,False,14.542,5.912,2.4,2.4,-6.23,-6.229999999999999,-1.7763568394002505e-15,Missouri -6.2,Missouri -6.2,,56.25,
OK,,g578,401856843,9,2026-10-31,Arizona State,BYU,False,6.4595,14.1595,2.1,2.1,9.8,9.799999999999999,1.7763568394002505e-15,BYU -9.8,BYU -9.8,,50.4,
OK,,g582,401858279,9,2026-10-31,Boston College,Duke,False,-3.488,4.427,3.2,3.2,11.115,11.114999999999998,1.7763568394002505e-15,Duke -11.1,Duke -11.1,,56.55,
